File,Error
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,'ascii' codec can't encode character u'\xc2' in position 0: ordinal not in range(128)
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,'ascii' codec can't encode character u'\xc2' in position 0: ordinal not in range(128)
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,'ascii' codec can't encode character u'\xc2' in position 0: ordinal not in range(128)
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,'ascii' codec can't encode character u'\xc2' in position 0: ordinal not in range(128)
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,'ascii' codec can't encode character u'\xc2' in position 0: ordinal not in range(128)
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,'ascii' codec can't encode character u'\xc2' in position 0: ordinal not in range(128)
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,'ascii' codec can't encode character u'\xc2' in position 0: ordinal not in range(128)
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,[Errno 13] Permission denied: 'E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf.csv'
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,'ascii' codec can't encode character u'\xc2' in position 0: ordinal not in range(128)
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,'encoding' is an invalid keyword argument for this function
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,'encoding' is an invalid keyword argument for this function
