File,Error,Manual
E:/expenditure-reports-project/resources/pdfs/1996_tb2.pdf,Table couldn't be extracted from E:/expenditure-reports-project/resources/pdfs/1996_tb2.pdf,
E:/expenditure-reports-project/resources/pdfs/2015_tb2.pdf,'ascii' codec can't encode character u'\xc2' in position 0: ordinal not in range(128),
E:/expenditure-reports-project/resources/pdfs/2014_tb2.pdf,'ascii' codec can't encode character u'\xc2' in position 0: ordinal not in range(128),
E:/expenditure-reports-project/resources/pdfs/2013_tb3.pdf,'ascii' codec can't encode character u'\u2013' in position 18: ordinal not in range(128),
E:/expenditure-reports-project/resources/pdfs/2013_tb2.pdf,'ascii' codec can't encode character u'\u2013' in position 41: ordinal not in range(128),
E:/expenditure-reports-project/resources/pdfs/2012_tb3.pdf,Number of columns is not consistent among pages!,
E:/expenditure-reports-project/resources/pdfs/2012_tb2.pdf,Number of columns is not consistent among pages!,
E:/expenditure-reports-project/resources/pdfs/2011_tb3.pdf,Number of columns is not consistent among pages!,
E:/expenditure-reports-project/resources/pdfs/2011_tb2.pdf,Number of columns is not consistent among pages!,
E:/expenditure-reports-project/resources/pdfs/2010_tb3.pdf,Number of columns is not consistent among pages!,
E:/expenditure-reports-project/resources/pdfs/2010_tb2.pdf,Number of columns is not consistent among pages!,
E:/expenditure-reports-project/resources/pdfs/2009_tb3.pdf,Number of columns is not consistent among pages!,
E:/expenditure-reports-project/resources/pdfs/2009_tb2.pdf,local variable 'df' referenced before assignment,
E:/expenditure-reports-project/resources/pdfs/2008_tb3.pdf,Number of columns is not consistent among pages!,
E:/expenditure-reports-project/resources/pdfs/2008_tb2.pdf,Number of columns is not consistent among pages!,
E:/expenditure-reports-project/resources/pdfs/1997_tb3.pdf,Table couldn't be extracted from E:/expenditure-reports-project/resources/pdfs/1997_tb3.pdf,X
E:/expenditure-reports-project/resources/pdfs/1997_tb2.pdf,Table couldn't be extracted from E:/expenditure-reports-project/resources/pdfs/1997_tb2.pdf,X
