Year,Table,Page Start,Page End,Comments,Downloaded,Ranges
2016,2,99,165,Rotate 90cw,x,99-165
2016,3,167,177,,x,167-177
2015,2,97,162,,x,97-162
2015,3,164,173,,x,164-173
2014,2,80,131,,x,80-131
2014,3,133,142,,x,133-142
2013,2,96,141,,x,96-141
2013,3,143,158,,x,143-158
2012,2,99,145,,x,99-145
2012,3,147,158,,x,147-158
2011,2,74,97,,x,74-97
2011,3,99,108,,x,99-108
2010,2,68,92,,x,68-92
2010,3,94,101,,x,94-101
2009,2,63,85,,x,63-85
2009,3,87,97,,x,87-97
2008,2,63,88,,x,63-88
2008,3,90,100,,x,90-100
2007,2,49,83,,x,49-83
2007,3,85,91,,x,85-91
2006,2,152,184,,x,152-184
2006,3,192,199,,x,192-199
2005,2,119,151,,x,119-151
2005,3,186,191,,x,186-191
2004,2,56,89,,x,56-89
2004,3,91,96,,x,91-96
2003,2,50,82,,x,50-82
2003,3,84,88,,x,84-88
2002,2,52,80,,x,52-80
2002,3,82,86,,x,82-86
2001,2,50,78,,x,50-78
2001,3,80,85,,x,80-85
2000,2,47,81,,x,47-81
2000,3,83,86,,x,83-86
1999,2,41,71,,x,41-71
1999,3,73,75,,x,73-75
1998,2,46,80,,x,46-80
1998,3,82,85,,x,82-85
1997,2,45,66,Remove pages 63 and 64,x,"45-62, 65-66"
1997,3,64,67,Only use 64 and 67,x,"64,67"
1996,2,31,46,,x,31-46
1996,3,48,49,,x,48-49
