RANK (from Tab. 2),SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,FWS TOTAL,"OTHERFED",FED TOTAL,"STATESTOTAL","SPECIESTOTAL($000)","LANDRANK"
,MAMMALS,,,,,,,,
20.0,"Bear, grizzly",Ursus arctos horribilis,T,0.00,0.00,0.00,153.00,153.00,57.0
85.0,"Bear, Louisiana black",Ursus americanus luteolus,T,"2,859.00",300.00,"3,159.00",217.40,"3,376.40",6.0
168.0,"Deer, Columbian white-tailed",Odocoileus virginianus leucurus,E,11.00,0.00,11.00,0.00,11.00,96.0
58.0,"Fox, San Joaquin kit",Vulpes macrotis mutica,E,0.00,320.20,320.20,0.00,320.20,46.0
128.0,"Kangaroo rat, Tipton",Dipodomys nitratoides nitratoides,E,0.00,70.20,70.20,0.00,70.20,69.0
23.0,"Manatee, West Indian",Trichechus manatus,E,"2,234.00",0.00,"2,234.00",0.00,"2,234.00",9.0
118.0,"Mouse, Alabama beach",Peromyscus polionotus ammobates,E,472.00,0.00,472.00,0.00,472.00,33.0
150.0,"Mouse, salt marsh harvest",Reithrodontomys raviventris,E,"1,083.30",0.00,"1,083.30",0.00,"1,083.30",18.0
144.0,"Squirrel, Delmarva Peninsula fox",Sciurus niger cinereus,E,0.00,5.00,5.00,0.00,5.00,103.0
714.0,"Vole, Hualapai Mexican",Microtus mexicanus hualpaiensis,E,0.00,25.00,25.00,0.00,25.00,89.0
,,,,,,,,,
,BIRDS,,,,,,,,
161.0,"Blackbird, yellow-shouldered",Agelaius xanthomus,E,"3,000.00",8.66,"3,008.66",0.00,"3,008.66",8.0
181.0,"Crane, Mississippi sandhill",Grus canadensis pulla,E,82.00,0.00,82.00,0.00,82.00,61.0
12.0,"Eagle, bald",Haliaeetus leucocephalus,T,"11,683.20",19.80,"11,703.00","1,583.00","13,286.00",1.0
35.0,"Falcon, American peregrine",Falco peregrinus anatum,E,0.00,8.66,8.66,0.00,8.66,99.0
19.0,"Flycatcher, southwestern willow",Empidonax traillii extimus,E,"1,182.60",25.00,"1,207.60",0.00,"1,207.60",16.0
32.0,"Gnatcatcher, coastal California",Polioptila californica californica,T,396.80,0.00,396.80,"3,506.58","3,903.38",5.0
135.0,"Goose, Aleutian Canada",Branta canadensis leucopareia,T,0.00,0.00,0.00,850.00,850.00,23.0
11.0,"Murrelet, marbled",Brachyramphus marmoratus marmoratus,T,31.40,0.00,31.40,0.00,31.40,86.0
43.0,"Owl, Mexican spotted",Strix occidentalis lucida,T,0.00,1.00,1.00,0.00,1.00,105.0
109.0,"Pelican, brown",Pelecanus occidentalis,E,"1,125.50",0.00,"1,125.50",0.00,"1,125.50",17.0
33.0,"Plover, piping",Charadrius melodus,"E, T",0.00,387.50,387.50,0.00,387.50,45.0
63.0,"Plover, western snowy",Charadrius alexandrinus nivosus,T,"1,083.30",0.00,"1,083.30",0.00,"1,083.30",19.0
