GENERAL RANK,SPECIES NAME (50 CFR PART 17),SCIENTIFIC NAME,STATUS,"FWSTOTAL",Other FED,FED TOTAL,"STATESTOTAL","SPECIES TOTAL($000)","LANDRANK"
,MAMMALS,,,,,,,,
23.0,"Bear, grizzly",Ursus arctos horribilis,T,0.00,0.00,0.00,380.80,380.80,50.0
87.0,"Bear, Louisiana black",Ursus americanus luteolus,T,"3,645.00",375.00,"4,020.00",0.00,"4,020.00",3.0
84.0,"Deer, Key",Odocoileus virginianus clavium,E,"2,548.00",0.00,"2,548.00",0.00,"2,548.00",8.0
61.0,"Fox, San Joaquin kit",Vulpes macrotis mutica,E,749.50,16.70,766.20,0.00,766.20,33.0
134.0,"Kangaroo rat, Fresno",Dipodomys nitratoides exilis,E,203.00,0.00,203.00,0.00,203.00,62.0
109.0,"Kangaroo rat, giant",Dipodomys ingens,E,203.00,0.00,203.00,0.00,203.00,63.0
218.0,"Kangaroo rat, Morro Bay",Dipodomys heermanni morroensis,E,0.00,0.00,0.00,"1,030.00","1,030.00",22.0
116.0,"Kangaroo rat, Tipton",Dipodomys nitratoides nitratoides,E,203.00,16.70,219.70,0.00,219.70,56.0
10.0,"Manatee, West Indian",Trichechus manatus,E,"4,856.00",0.00,"4,856.00",0.00,"4,856.00",2.0
92.0,"Mouse, Alabama beach",Peromyscus polionotus ammobates,E,66.00,0.00,66.00,0.00,66.00,80.0
136.0,"Sheep, bighorn",Ovis canadensis californiana,E,0.00,0.00,0.00,"3,020.00","3,020.00",7.0
24.0,"Wolf, gray",Canis lupus,"E,T",0.00,0.00,0.00,380.80,380.80,51.0
44.0,"Wolf, red",Canis rufus,E,0.00,837.75,837.75,0.00,837.75,28.0
,,,,,,,,,
,BIRDS,,,,,,,,
395.0,"Blackbird, yellow-shouldered",Agelaius xanthomus,E,0.00,8.66,8.66,0.00,8.66,99.0
81.0,"Crane, Mississippi sandhill",Grus canadensis pulla,E,120.00,0.00,120.00,0.00,120.00,71.0
125.0,"Eagle, bald",Haliaeetus leucocephalus,T,"15,836.00","1,016.55","16,852.55",449.40,"17,301.95",1.0
