Rank,Species (50 CFR Part 17),Stat- us,"SpeciesTotal","CumulativeTotal","CumulativePercent"
1,"Sea-lion, Steller (Eumetopias jubatus)","E,T","46,782,971","46,782,971",7.22
2,"Salmon, chinookspring/summer Snake R. (Oncorhynchus (=Salmo) tshawytscha)",T,"32,783,534","79,566,505",12.29
3,"SteelheadSnake R. Basin (Oncorhynchus (=Salmo) mykiss)",T,"31,489,233","111,055,738",17.15
4,"Steelheadmiddle Columbia R. (Oncorhynchus (=Salmo) mykiss)",T,"26,843,600","137,899,338",21.29
5,"Trout, bull (Salvelinus confluentus)",T,"24,039,159","161,938,497",25.01
6,"Salmon, cohoOR, CA pop. (Oncorhynchus (=Salmo) kisutch)",T,"21,369,586","183,308,083",28.31
7,"Salmon, chinookfall Snake R. (Oncorhynchus (=Salmo) tshawytscha)",T,"17,193,404","200,501,487",30.96
8,"Salmon, chinookspring upper Columbia R. (Oncorhynchus (=Salmo) tshawytscha)",T,"16,215,000","216,716,487",33.47
9,"Salmon, sockeyeU.S.A. (Snake River, ID stock wherever found. (Oncorhynchus (=Salmo)nerka)",E,"15,860,804","232,577,291",35.91
10,"Steelheadupper Columbia R. Basin (Oncorhynchus (=Salmo) mykiss)",E,"15,701,250","248,278,541",38.34
11,"Salmon, chumColumbia R. (Oncorhynchus (=Salmo) keta)",T,"14,302,704","262,581,245",40.55
12,"Steelheadlower Columbia R. (Oncorhynchus (=Salmo) mykiss)",T,"13,060,400","275,641,645",42.56
13,"Salmon, chinooklower Columbia R. (Oncorhynchus (=Salmo) tshawytscha)",T,"12,057,500","287,699,145",44.43
14,"Sucker, razorback (Xyrauchen texanus)",E,"11,214,530","298,913,675",46.16
15,"Salmon, chinookPuget Sound (Oncorhynchus (=Salmo) tshawytscha)",T,"11,174,300","310,087,975",47.88
16,"Pikeminnow (=squawfish), Colorado (Ptychocheilus lucius)",E,"9,468,430","319,556,405",49.35
17,"Manatee, West Indian (Trichechus manatus)",E,"9,373,159","328,929,564",50.79
18,"Steelheadnorthern CA (Oncorhynchus (=Salmo) mykiss)",T,"9,225,600","338,155,164",52.22
19,"Woodpecker, red-cockaded (Picoides borealis)",E,"9,017,977","347,173,141",53.61
20,"Eagle, bald (Haliaeetus leucocephalus)",T,"8,283,723","355,456,864",54.89
21,"Tortoise, desert (Gopherus agassizii)",T,"8,066,170","363,523,034",56.14
22,"Salmon, chinookupper Willamette R. (Oncorhynchus (=Salmo) tshawytscha)",T,"7,360,296","370,883,330",57.27
23,"Flycatcher, southwestern willow (Empidonax traillii extimus)",E,"7,141,148","378,024,478",58.37
24,"Panther, Florida (Puma (=Felis) concolor coryi)",E,"6,881,300","384,905,778",59.44
25,"Salmon, chinookwinter Sacramento R. (Oncorhynchus (=Salmo) tshawytscha)",E,"6,649,050","391,554,828",60.46
26,"Salmon, AtlanticGulf of Maine Atlantic Salmon DPS (Salmo salar)",E,"6,568,995","398,123,823",61.48
27,"Salmon, chinookCA Central Valley spring-run (Oncorhynchus (=Salmo) tshawytscha)",T,"6,322,900","404,446,723",62.46
28,"Whale, right (Balaena glacialis (incl. australis))",E,"6,036,119","410,482,842",63.39
29,"SteelheadCentral Valley CA (Oncorhynchus (=Salmo) mykiss)",T,"6,033,204","416,516,046",64.32
