TABLE 3. FY 2001 REPORTED LAND ACQUISITION EXPENDITURES FOR ENDANGERED AND THREATENED SPECIES,,,,,,,,,
,,,,,,,,,
Land Rank,Species (50 CFR Part 17),Status,FWS Total ($),Other Fed ($),Fed Total ($),States Total ($),Species Total ($),TYPE,COMMENTS
6,"Bat, Indiana (Myotis sodalis)",E,0,"3,953,405","3,953,405",0,"3,953,405",MAMMALS,
22,"Bear, grizzly (Ursus arctos horribilis)",T,0,"815,000","815,000","384,400","1,199,400",MAMMALS,
2,"Bear, Louisiana black (Ursus americanusluteolus)",T,"7,707,000","6,502,900","14,209,900",0,"14,209,900",MAMMALS,
85,"Deer, key (Odocoileus virginianus clavium)",E,"215,722",0,"215,722",0,"215,722",MAMMALS,
120,"Ferret, black-footed (Mustela nigripes)",E,"32,000",0,"32,000",0,"32,000",MAMMALS,
108,"Fox, San Joaquin kit (Vulpes macrotismutica)",E,"81,400",0,"81,400",0,"81,400",MAMMALS,
25,"Kangaroo rat, Morro Bay (Dipodomysheermanni morroensis)",E,0,"94,000","94,000","1,030,000","1,124,000",MAMMALS,
48,"Lynx, Canada (Lynx canadensis)",T,0,"1,000","1,000","394,400","395,400",MAMMALS,
7,"Manatee, West Indian (Trichechus manatus)",E,"3,258,456",0,"3,258,456",0,"3,258,456",MAMMALS,
92,"Mouse, Alabama beach (Peromyscuspolionotus ammobates)",E,"126,000",0,"126,000",0,"126,000",MAMMALS,
98,"Rabbit, Lower Keys marsh (Sylvilaguspalustris hefneri)",E,"111,722",0,"111,722",0,"111,722",MAMMALS,
10,"Rabbit, riparian brush (Sylvilagus bachmaniriparius)",E,"2,962,500",0,"2,962,500",0,"2,962,500",MAMMALS,
98,Rice rat (Oryzomys palustris natator),E,"111,722",0,"111,722",0,"111,722",MAMMALS,
106,"Sheep, bighorn (Ovis canadensis)",E,"100,000",0,"100,000",0,"100,000",MAMMALS,
8,"Sheep, bighorn (Ovis canadensiscaliforniana)",E,0,0,0,"3,020,000","3,020,000",MAMMALS,
48,"Wolf, gray (Canis lupus)","E,T",0,"1,000","1,000","394,400","395,400",MAMMALS,
,Mammals Subtotal,,"14,706,522","11,367,305","26,073,827","5,223,200","31,297,027",,
,Mammals Subtotal Verified,,"14,706,522","11,367,305","26,073,827","5,223,200","31,297,027",,
,,,,,,,,,
40,"Crane, Mississippi sandhill (Gruscanadensis pulla)",E,"598,000",0,"598,000",0,"598,000",BIRDS,
1,"Eagle, bald (Haliaeetus leucocephalus)",T,"20,073,093","1,350,260","21,423,353","320,800","21,744,153",BIRDS,
54,"Elepaio, Oahu (Chasiempis sandwichensisibidis)",E,"355,045",0,"355,045",0,"355,045",BIRDS,
18,"Flycatcher, southwestern willow(Empidonax traillii extimus)",E,"1,408,100",0,"1,408,100",0,"1,408,100",BIRDS,
