Land Rank,Species (50 CFR Part 17),Status,"FWSTotal ($)","OtherFed ($)","FedTotal ($)","StatesTotal ($)","SpeciesTotal ($)"
79.0,"Bat, gray (Myotis grisescens)",E,"129,908",500,"130,408",0,"130,408"
9.0,"Bat, Indiana (Myotis sodalis)",E,0,"2,650,000","2,650,000",0,"2,650,000"
80.0,"Bat, Ozark big-eared (Corynorhinus (=Plecotus)townsendii ingens)",E,"129,907",0,"129,907",0,"129,907"
58.0,"Bear, grizzly (Ursus arctos horribilis)",T,0,0,0,"262,900","262,900"
1.0,"Bear, Louisiana black (Ursus americanusluteolus)",T,"5,774,000","11,727,500","17,501,500",0,"17,501,500"
112.0,"Deer, key (Odocoileus virginianus clavium)",E,"4,889",0,"4,889",0,"4,889"
55.0,"Fox, San Joaquin kit (Vulpes macrotis mutica)",E,"132,300","165,000","297,300",0,"297,300"
57.0,"Lynx, Canada (Lynx canadensis)",T,0,"4,000","4,000","262,900","266,900"
32.0,"Manatee, West Indian (Trichechus manatus)",E,"931,358",0,"931,358",0,"931,358"
110.0,"Mouse, Alabama beach (Peromyscuspolionotus ammobates)",E,"8,000",0,"8,000",0,"8,000"
112.0,"Rabbit, Lower Keys marsh (Sylvilagus palustrishefneri)",E,"4,889",0,"4,889",0,"4,889"
19.0,"Rabbit, pygmy (Brachylagus idahoensis)",EmE,"1,364,600",0,"1,364,600",0,"1,364,600"
7.0,"Rabbit, riparian brush (Sylvilagus bachmaniriparius)",E,"4,787,100",0,"4,787,100",0,"4,787,100"
112.0,Rice rat (Oryzomys palustris natator),E,"4,889",0,"4,889",0,"4,889"
76.0,"Sea-lion, Steller (Eumetopias jubatus)","E,T","137,500",0,"137,500",0,"137,500"
58.0,"Wolf, gray (Canis lupus)","E,T",0,0,0,"262,900","262,900"
103.0,"Wolf, red (Canis rufus)",E,"31,000",0,"31,000",0,"31,000"
29.0,"Woodrat, riparian (=San Joaquin Valley)(Neotoma fuscipes riparia)",E,"957,400",0,"957,400",0,"957,400"
,Mammals Subtotal,,"14,397,740","14,547,000","28,944,740","788,700","29,733,440"
,,,,,,,
84.0,"Coot, Hawaiian (Fulica americana alai)",E,0,"107,800","107,800",0,"107,800"
97.0,"Crane, Mississippi sandhill (Grus canadensispulla)",E,"47,500",0,"47,500",0,"47,500"
84.0,"Duck, Hawaiian (=koloa) (Anas wyvilliana)",E,0,"107,800","107,800",0,"107,800"
2.0,"Eagle, bald (Haliaeetus leucocephalus)",T,"14,033,895","241,601","14,275,496","1,018,800","15,294,296"
43.0,"Flycatcher, southwestern willow (Empidonaxtraillii extimus)",E,"324,758",0,"324,758",0,"324,758"
43.0,"Gnatcatcher, coastal California (Polioptilacalifornica californica)",T,"324,758",0,"324,758",0,"324,758"
84.0,"Goose, Hawaiian (Branta (=Nesochen)sandvicensis)",E,0,"107,800","107,800",0,"107,800"
84.0,"Moorhen, Hawaiian common (Gallinulachloropus sandvicensis)",E,0,"107,800","107,800",0,"107,800"
56.0,"Murrelet, marbled (Brachyramphus marmoratusmarmoratus)",T,"287,900",0,"287,900",0,"287,900"
6.0,"Pelican, brown (Pelecanus occidentalis)",E,"5,120,425",0,"5,120,425",0,"5,120,425"
69.0,"Plover, western snowy (Charadriusalexandrinus nivosus)",T,"150,400",0,"150,400",0,"150,400"
96.0,"Prairie-chicken, Attwater's greater(Tympanuchus cupido attwateri)",E,"51,250",0,"51,250",0,"51,250"
50.0,"Rail, California clapper (Rallus longirostrisobsoletus)",E,0,"320,000","320,000",0,"320,000"
84.0,"Stilt, Hawaiian (Himantopus mexicanusknudseni)",E,0,"107,800","107,800",0,"107,800"
28.0,"Stork, wood (Mycteria americana)",E,"958,246",0,"958,246",0,"958,246"
4.0,"Vireo, black-capped (Vireo atricapilla)",E,"133,400",0,"133,400","5,297,600","5,431,000"
43.0,"Vireo, least Bell's (Vireo bellii pusillus)",E,"324,758",0,"324,758",0,"324,758"
4.0,"Warbler (=wood), golden-cheeked (Dendroicachrysoparia)",E,"133,400",0,"133,400","5,297,600","5,431,000"
3.0,"Woodpecker, red-cockaded (Picoides borealis)",E,"51,000","5,950,000","6,001,000","80,000","6,081,000"
,Birds Subtotal,,"21,941,690","7,050,601","28,992,291","11,694,000","40,686,291"
,,,,,,,
42.0,"Cooter (=turtle), northern redbelly (=Plymouth)(Pseudemys rubriventris bangsi)",E,"353,432",0,"353,432",0,"353,432"
119.0,"Crocodile, American (Crocodylus acutus)",E,"3,000",0,"3,000",0,"3,000"
20.0,"Sea turtle, green (Chelonia mydas)","E,T","1,264,999",0,"1,264,999",0,"1,264,999"
22.0,"Sea turtle, hawksbill (Eretmochelys imbricate)",E,"1,232,999",0,"1,232,999",0,"1,232,999"
31.0,"Sea turtle, Kemp's ridley (Lepidochelys kempii)",E,"936,358",0,"936,358",0,"936,358"
36.0,"Sea turtle, leatherback (Dermochelys coriacea)",E,"711,641",0,"711,641",0,"711,641"
21.0,"Sea turtle, loggerhead (Caretta caretta)",T,"1,259,473",0,"1,259,473",0,"1,259,473"
106.0,"Skink, bluetail mole (Eumeces egregius lividus)",T,"11,000",0,"11,000",0,"11,000"
106.0,"Skink, sand (Neoseps reynoldsi)",T,"11,000",0,"11,000",0,"11,000"
33.0,"Snake, Atlantic salt marsh (Nerodia clarkiitaeniata)",T,"928,358",0,"928,358",0,"928,358"
112.0,"Snake, eastern indigo (Drymarchon coraiscouperi)",T,"4,889",0,"4,889",0,"4,889"
98.0,"Snake, giant garter (Thamnophis gigas)",T,"40,800",0,"40,800",0,"40,800"
8.0,"Tortoise, desert (Gopherus agassizii)",T,"575,000","2,851,000","3,426,000","920,000","4,346,000"
18.0,"Tortoise, gopher (Gopherus polyphemus)",T,"51,000",0,"51,000","1,400,000","1,451,000"
,Reptiles Subtotal,,"7,383,949","2,851,000","10,234,949","2,320,000","12,554,949"
,,,,,,,
72.0,"Frog, California red-legged (Rana auroradraytonii)",T,"147,958",0,"147,958",0,"147,958"
62.0,"Salamander, California tiger (Ambystomacaliforniense)","E,EmE",0,"225,000","225,000",0,"225,000"
43.0,"Toad, arroyo (=arroyo southwestern) (Bufocalifornicus (=microscaphus))",E,"324,758",0,"324,758",0,"324,758"
,Amphibians Subtotal,,"472,716","225,000","697,716",0,"697,716"
,,,,,,,
51.0,"Chub, Yaqui (Gila purpurea)",E,"300,000",0,"300,000",0,"300,000"
16.0,"Dace, Moapa (Moapa coriacea)",E,"1,725,000",0,"1,725,000",0,"1,725,000"
90.0,"Salmon, AtlanticGulf of Maine Atlantic Salmon DPS (Salmosalar)",E,0,0,0,"83,700","83,700"
41.0,"Salmon, chinookfall Snake R. (Oncorhynchus (=Salmo)tshawytscha)",T,"247,500","226,000","473,500",0,"473,500"
60.0,"Salmon, chinookspring/summer Snake R. (Oncorhynchus(=Salmo) tshawytscha)",T,0,"226,000","226,000",0,"226,000"
26.0,"Salmon, chinookwinter Sacramento R. (Oncorhynchus (=Salmo)tshawytscha)",E,"998,200",0,"998,200",0,"998,200"
38.0,"Salmon, chinookPuget Sound (Oncorhynchus (=Salmo)tshawytscha)",T,0,"226,000","226,000","379,300","605,300"
60.0,"Salmon, chinooklower Columbia R. (Oncorhynchus (=Salmo)",T,0,"226,000","226,000",0,"226,000"
,tshawytscha),,,,,,
92.0,"Salmon, chinookupper Willamette R. (Oncorhynchus (=Salmo)tshawytscha)",T,0,"65,087","65,087",0,"65,087"
23.0,"Salmon, chinookspring upper Columbia R. (Oncorhynchus(=Salmo) tshawytscha)",T,"957,400","227,000","1,184,400",0,"1,184,400"
98.0,"Salmon, chinookCA Central Valley spring-run (Oncorhynchus(=Salmo) tshawytscha)",T,"40,800",0,"40,800",0,"40,800"
81.0,"Salmon, chumColumbia R. (Oncorhynchus (=Salmo) keta)",T,0,0,0,"116,400","116,400"
82.0,"Salmon, chumsummer-run Hood Canal (Oncorhynchus(=Salmo) keta)",T,0,"113,000","113,000",0,"113,000"
91.0,"Salmon, cohoOR, CA pop. (Oncorhynchus (=Salmo) kisutch)",T,0,"75,622","75,622",0,"75,622"
82.0,"Salmon, sockeyeU.S.A. (Snake River, ID stock wherever found.(Oncorhynchus (=Salmo) nerka)",E,0,"113,000","113,000",0,"113,000"
34.0,"Spinedace, Little Colorado (Lepidomeda vittata)",T,0,0,0,"805,000","805,000"
29.0,"Splittail, Sacramento (Pogonichthysmacrolepidotus)",T,"957,400",0,"957,400",0,"957,400"
26.0,"SteelheadCentral Valley CA (Oncorhynchus (=Salmo)mykiss)",T,"998,200",0,"998,200",0,"998,200"
64.0,"SteelheadSnake R. Basin (Oncorhynchus (=Salmo)mykiss)",T,0,"205,000","205,000",0,"205,000"
63.0,"Steelheadlower Columbia R. (Oncorhynchus (=Salmo)mykiss)",T,0,"206,000","206,000",0,"206,000"
37.0,"Steelheadupper Columbia R. Basin (Oncorhynchus(=Salmo) mykiss)",E,0,"185,000","185,000","442,900","627,900"
89.0,"Steelheadupper Willamette R. (Oncorhynchus (=Salmo)mykiss)",T,0,"85,087","85,087",0,"85,087"
94.0,"Steelheadmiddle Columbia R. (Oncorhynchus (=Salmo)mykiss)",T,0,"60,000","60,000",0,"60,000"
