Rank,Species (50 CFR Part 17),Status,"SpeciesTotal ($)","CumulativeTotal ($)","CumulativePercent ($)"
1,"Sea-lion, Stellerwestern pop. (Eumetopias jubatus)",E,"49,514,210","49,514,210",7.23
2,"Salmon, chinookspring/summer Snake R. (Oncorhynchus (=Salmo) tshawytscha)",T,"35,576,572","85,090,782",12.43
3,"Trout, bullU.S.A., conterminous, lower 48 states (Salvelinus confluentus)",T,"29,295,633","114,386,415",16.7
4,"SteelheadSnake R. Basin (Oncorhynchus (=Salmo) mykiss)",T,"23,859,358","138,245,773",20.19
5,"Steelheadmiddle Columbia R. (Oncorhynchus (=Salmo) mykiss)",T,"20,468,240","158,714,013",23.18
6,"Salmon, chinookfall Snake R. (Oncorhynchus (=Salmo) tshawytscha)",T,"18,781,033","177,495,046",25.92
7,"Salmon, chinookPuget Sound (Oncorhynchus (=Salmo) tshawytscha)",T,"15,560,397","193,055,443",28.19
8,"Salmon, cohoOR, CA pop. (Oncorhynchus (=Salmo) kisutch)",T,"14,925,366","207,980,809",30.37
9,"Whale, right (Balaena glacialis (incl. australis))",E,"11,802,149","219,782,958",32.09
10,"Minnow, Rio Grande silvery (Hybognathus amarus)",E,"11,300,700","231,083,658",33.74
11,"Salmon, sockeyeU.S.A. (Snake River, ID stock wherever found. (Oncorhynchus (=Salmo)nerka)",E,"11,288,666","242,372,324",35.39
12,"Salmon, chinookupper Willamette R. (Oncorhynchus (=Salmo) tshawytscha)",T,"11,258,524","253,630,848",37.04
13,"Woodpecker, red-cockaded (Picoides borealis)",E,"11,069,069","264,699,917",38.65
14,"Salmon, chinooklower Columbia R. (Oncorhynchus (=Salmo) tshawytscha)",T,"10,949,480","275,649,397",40.25
15,"Flycatcher, southwestern willow (Empidonax traillii extimus)",E,"9,909,284","285,558,681",41.7
16,"Manatee, West Indian (Trichechus manatus)",E,"9,798,514","295,357,195",43.13
17,"Steelheadlower Columbia R. (Oncorhynchus (=Salmo) mykiss)",T,"9,439,431","304,796,626",44.51
18,"Salmon, chinookspring upper Columbia R. (Oncorhynchus (=Salmo) tshawytscha)",T,"9,024,801","313,821,427",45.82
19,"SteelheadCentral Valley CA (Oncorhynchus (=Salmo) mykiss)",T,"8,733,300","322,554,727",47.1
20,"Salmon, cohocentral CA coast (Oncorhynchus (=Salmo) kisutch)",T,"8,526,450","331,081,177",48.35
