Rank,Species (50 CFR Part 17),Status,"SpeciesTotal","CumulativeTotal","CumulativePercent"
1,"Salmon, chinookspring/summer Snake R. (Oncorhynchus (=Salmo) tshawytscha)",T,"$40,578,634","$40,578,634",5.12
2,"Trout, bullU.S.A., conterminous, lower 48 states (Salvelinus confluentus)",T,"$32,570,598","$73,149,232",9.22
3,"Sea-lion, Stellerwestern pop. (Eumetopias jubatus)",E,"$31,746,221","$104,895,453",13.23
4,"SteelheadSnake R. Basin (Oncorhynchus (=Salmo) mykiss)",T,"$28,203,252","$133,098,705",16.78
5,"Steelheadmiddle Columbia R. (Oncorhynchus (=Salmo) mykiss)",T,"$27,959,609","$161,058,314",20.31
6,"Salmon, chinookfall Snake R. (Oncorhynchus (=Salmo) tshawytscha)",T,"$27,428,332","$188,486,646",23.77
7,"Salmon, chinookPuget Sound (Oncorhynchus (=Salmo) tshawytscha)",T,"$24,084,858","$212,571,504",26.8
8,"Salmon, cohoOR, CA pop. (Oncorhynchus (=Salmo) kisutch)",T,"$23,405,737","$235,977,241",29.75
9,"Salmon, chinookspring upper Columbia R. (Oncorhynchus (=Salmo) tshawytscha)",E,"$20,254,620","$256,231,861",32.31
10,"Salmon, sockeyeU.S.A. (Snake River, ID stock wherever found.) (Oncorhynchus(=Salmo) nerka)",E,"$17,550,189","$273,782,050",34.52
11,"Salmon, chinooklower Columbia R. (Oncorhynchus (=Salmo) tshawytscha)",T,"$17,419,554","$291,201,604",36.72
12,"Steelheadupper Columbia R. Basin (Oncorhynchus (=Salmo) mykiss)",E,"$15,997,422","$307,199,026",38.73
13,"Woodpecker, red-cockaded (Picoides borealis)",E,"$14,125,085","$321,324,111",40.51
14,"Sturgeon, pallid (Scaphirhynchus albus)",E,"$13,370,173","$334,694,284",42.2
15,"SteelheadCentral Valley CA (Oncorhynchus (=Salmo) mykiss)",T,"$12,403,236","$347,097,520",43.76
16,"Whale, right (Balaena glacialis (incl. australis))",E,"$12,369,623","$359,467,143",45.32
17,"Flycatcher, southwestern willow (Empidonax traillii extimus)",E,"$11,911,824","$371,378,967",46.83
18,"Sea-lion, Stellereastern pop. (Eumetopias jubatus)",T,"$10,811,100","$382,190,067",48.19
19,"Steelheadlower Columbia R. (Oncorhynchus (=Salmo) mykiss)",T,"$10,150,240","$392,340,307",49.47
20,"Manatee, West Indian (Trichechus manatus)",E,"$9,861,677","$402,201,984",50.71
21,"Eagle, baldlower 48 States (Haliaeetus leucocephalus)",T,"$9,837,240","$412,039,224",51.95
22,"Salmon, cohoOregon coast (Oncorhynchus (=Salmo) kisutch)",T,"$9,207,050","$421,246,274",53.11
23,"Salmon, chinookwinter Sacramento R. (Oncorhynchus (=Salmo) tshawytscha)",E,"$8,795,016","$430,041,290",54.22
24,"Salmon, chumColumbia R. (Oncorhynchus (=Salmo) keta)",T,"$8,411,100","$438,452,390",55.28
25,"Minnow, Rio Grande silvery (Hybognathus amarus)",E,"$8,073,562","$446,525,952",56.3
26,"Salmon, chinookupper Willamette R. (Oncorhynchus (=Salmo) tshawytscha)",T,"$8,061,536","$454,587,488",57.32
27,"Sucker, razorback (Xyrauchen texanus)",E,"$7,548,642","$462,136,130",58.27
28,"Salmon, chinookCA coastal (Oncorhynchus (=Salmo) tshawytscha)",T,"$7,529,918","$469,666,048",59.22
29,"Salmon, AtlanticGulf of Maine Atlantic Salmon DPS (Salmo salar)",E,"$7,496,334","$477,162,382",60.16
30,"Sea turtle, loggerhead (Caretta caretta)",T,"$7,474,119","$484,636,501",61.11
31,"Bear, grizzlylower 48 States, except where listed as an experimental population(Ursus arctos horribilis)",T,"$7,240,402","$491,876,903",62.02
32,"Sea turtle, leatherback (Dermochelys coriacea)",E,"$7,223,215","$499,100,118",62.93
33,"Salmon, chinookCA Central Valley spring-run (Oncorhynchus (=Salmo) tshawytscha)",T,"$7,157,068","$506,257,186",63.83
34,"Owl, northern spotted (Strix occidentalis caurina)",T,"$6,980,570","$513,237,756",64.71
35,"Chub, humpback (Gila cypha)",E,"$6,670,006","$519,907,762",65.55
36,"Steelheadupper Willamette R. (Oncorhynchus (=Salmo) mykiss)",T,"$6,323,800","$526,231,562",66.35
37,"Sturgeon, whiteU.S.A. (ID, MT), Canada (B.C.), Kootenai R. system (Acipensertransmontanus)",E,"$5,689,173","$531,920,735",67.07
38,"Murrelet, marbledCA, OR, WA (Brachyramphus marmoratus marmoratus)",T,"$5,646,695","$537,567,430",67.78
39,"Tortoise, desertU.S.A., except in Sonoran Desert (Gopherus agassizii)",T,"$5,413,663","$542,981,093",68.46
40,"Pikeminnow (=squawfish), Coloradoexcept Salt and Verde R. drainages, AZ (Ptychocheilus lucius)",E,"$5,316,746","$548,297,839",69.13
41,"Owl, Mexican spotted (Strix occidentalis lucida)",T,"$5,276,995","$553,574,834",69.8
42,"Bat, Indiana (Myotis sodalis)",E,"$4,920,682","$558,495,516",70.42
43,"Chub, bonytail (Gila elegans)",E,"$4,864,566","$563,360,082",71.03
44,"Salmon, chumsummer-run Hood Canal (Oncorhynchus (=Salmo) keta)",T,"$4,846,843","$568,206,925",71.64
45,"Vireo, black-capped (Vireo atricapilla)",E,"$4,606,463","$572,813,388",72.22
46,"Plover, western snowyPacific coastal pop. (Charadrius alexandrinus nivosus)",T,"$4,530,614","$577,344,002",72.79
47,"Steelheadnorthern CA (Oncorhynchus (=Salmo) mykiss)",T,"$4,465,309","$581,809,311",73.36
48,"Sucker, shortnose (Chasmistes brevirostris)",E,"$4,453,465","$586,262,776",73.92
49,"Warbler (=wood), golden-cheeked (Dendroica chrysoparia)",E,"$4,452,326","$590,715,102",74.48
50,"Sea turtle, Kemp's ridley (Lepidochelys kempii)",E,"$4,295,166","$595,010,268",75.02
51,"Salmon, sockeyeU.S.A. (Ozette Lake, WA) (Oncorhynchus (=Salmo) nerka)",T,"$4,277,375","$599,287,643",75.56
52,"Sucker, Lost River (Deltistes luxatus)",E,"$4,253,222","$603,540,865",76.1
53,"Salmon, cohocentral CA coast (Oncorhynchus (=Salmo) kisutch)",T,"$4,035,432","$607,576,297",76.61
54,"Steelheadcentral CA coast (Oncorhynchus (=Salmo) mykiss)",T,"$3,985,180","$611,561,477",77.11
55,"Steelheadsouthern CA coast (Oncorhynchus (=Salmo) mykiss)",E,"$3,961,426","$615,522,903",77.61
56,"Steelheadsouth central CA coast (Oncorhynchus (=Salmo) mykiss)",T,"$3,930,890","$619,453,793",78.1
57,"Bear, Louisiana black (Ursus americanus luteolus)",T,"$3,811,626","$623,265,419",78.58
58,"Plover, pipingexcept Great Lakes watershed (Charadrius melodus)",T,"$3,489,405","$626,754,824",79.02
59,Palila (honeycreeper) (Loxioides bailleui),E,"$3,089,064","$629,843,888",79.41
60,"Trout, Lahontan cutthroat (Oncorhynchus clarki henshawi)",T,"$3,053,142","$632,897,030",79.8
61,"Lynx, Canadalower 48 States DPS (Lynx canadensis)",T,"$3,012,982","$635,910,012",80.18
62,"Sea turtle, hawksbill (Eretmochelys imbricata)",E,"$2,949,634","$638,859,646",80.55
63,"Tern, leastinterior pop. (Sterna antillarum)",E,"$2,872,989","$641,732,635",80.91
64,"Fox, San Joaquin kit (Vulpes macrotis mutica)",E,"$2,641,027","$644,373,662",81.25
65,"Sea turtle, greenexcept where endangered (Chelonia mydas)",T,"$2,502,218","$646,875,880",81.56
66,"Panther, Florida (Puma (=Felis) concolor coryi)",E,"$2,489,720","$649,365,600",81.87
67,"Shiner, Pecos bluntnose (Notropis simus pecosensis)",T,"$2,481,450","$651,847,050",82.19
68,"Seal, Hawaiian monk (Monachus schauinslandi)",E,"$2,321,146","$654,168,196",82.48
69,"Sturgeon, shortnose (Acipenser brevirostrum)",E,"$2,311,905","$656,480,101",82.77
70,"Wolf, grayEastern Distinct Population Segment (Canis lupus)",T,"$2,280,463","$658,760,564",83.06
71,"Wolf, grayWestern Distinct Population Segment (Canis lupus)",T,"$2,272,904","$661,033,468",83.35
72,"Whale, sperm (Physeter catodon (=macrocephalus))",E,"$2,270,475","$663,303,943",83.63
73,"Sea turtle, olive ridleyexcept where endangered (Lepidochelys olivacea)",T,"$2,214,790","$665,518,733",83.91
74,"Sea turtle, greenFL, Mexico nesting pops. (Chelonia mydas)",E,"$2,211,504","$667,730,237",84.19
75,"Deer, key (Odocoileus virginianus clavium)",E,"$2,116,000","$669,846,237",84.46
76,"Tortoise, gopherW of of Mobile/Tombigbee Rs. (Gopherus polyphemus)",T,"$2,102,100","$671,948,337",84.72
77,"Ferret, black-footedU.S.A. (specific portions of AZ, CO, MT, SD, UT, and WY) (Mustelanigripes)",EXPN,"$2,019,576","$673,967,913",84.98
78,"Salamander, Barton Springs (Eurycea sosorum)",E,"$1,884,500","$675,852,413",85.21
79,"Smelt, delta (Hypomesus transpacificus)",T,"$1,752,213","$677,604,626",85.44
80,"Bat, gray (Myotis grisescens)",E,"$1,745,960","$679,350,586",85.66
81,"Fly, Delhi Sands flower-loving (Rhaphiomidas terminatusabdominalis)",E,"$1,673,466","$681,024,052",85.87
82,"Frog, California red-leggedsubspecies range clarified (Rana aurora draytonii)",T,"$1,576,949","$682,601,001",86.07
83,"Parrot, Puerto Rican (Amazona vittata)",E,"$1,573,500","$684,174,501",86.26
84,"Eider, Steller'sAK breeding pop. (Polysticta stelleri)",T,"$1,550,952","$685,725,453",86.46
85,"Tern, California least (Sterna antillarum browni)",E,"$1,532,261","$687,257,714",86.65
86,"Snake, giant garter (Thamnophis gigas)",T,"$1,514,823","$688,772,537",86.84
87,"Beetle, valley elderberry longhorn (Desmocerus californicusdimorphus)",T,"$1,513,233","$690,285,770",87.03
88,"Albatross, short-tailed (Phoebastria (=Diomedea) albatrus)",E,"$1,510,214","$691,795,984",87.22
89,"Jay, Florida scrub (Aphelocoma coerulescens)",T,"$1,363,211","$693,159,195",87.4
90,"Harvestman, Bone Cave (Texella reyesi)",E,"$1,361,780","$694,520,975",87.57
91,"Turtle, bog (=Muhlenberg)northern (Clemmys muhlenbergii)",T,"$1,308,710","$695,829,685",87.73
92,Higgins eye (pearlymussel) (Lampsilis higginsii),E,"$1,302,660","$697,132,345",87.9
93,"Gnatcatcher, coastal California (Polioptila californica californica)",T,"$1,274,259","$698,406,604",88.06
94,"Salamander, California tigerEntire (Ambystoma californiense)",T,"$1,261,128","$699,667,732",88.22
95,"Stork, woodAL, FL, GA, SC (Mycteria americana)",E,"$1,179,700","$700,847,432",88.37
96,"Eider, spectacled (Somateria fischeri)",T,"$1,153,192","$702,000,624",88.51
97,"Butterfly, Karner blue (Lycaeides melissa samuelis)",E,"$1,085,869","$703,086,493",88.65
98,"Milk-vetch, Peirson's (Astragalus magdalenae var. peirsonii)",T,"$1,069,717","$704,156,210",88.78
99,"Toad, arroyo (=arroyo southwestern) (Bufo californicus(=microscaphus))",E,"$1,062,719","$705,218,929",88.92
100,"Ferret, black-footedexcept where XN (Mustela nigripes)",E,"$1,062,313","$706,281,242",89.05
101,"Wolf, grayMexican gray wolf, EXPN population (Canis lupus)",EXPN,"$1,030,872","$707,312,114",89.18
102,"Prairie dog, Utah (Cynomys parvidens)",T,"$1,030,054","$708,342,168",89.31
103,"Fairy shrimp, vernal pool (Branchinecta lynchi)",T,"$1,018,842","$709,361,010",89.44
104,"Darter, Okaloosa (Etheostoma okaloosae)",E,"$1,012,423","$710,373,433",89.57
105,"Heelsplitter, Carolina (Lasmigona decorata)",E,"$991,892","$711,365,325",89.69
106,"Wolf, grayWY, ID, MT (Canis lupus)",EXPN,"$965,958","$712,331,283",89.81
107,"Sturgeon, gulf (Acipenser oxyrinchus desotoi)",T,"$933,374","$713,264,657",89.93
108,"Vireo, least Bell's (Vireo bellii pusillus)",E,"$922,479","$714,187,136",90.05
109,Pondberry (Lindera melissifolia),E,"$827,115","$715,014,251",90.15
110,"Crane, whoopingexcept where XN (Grus americana)",E,"$785,241","$715,799,492",90.25
111,"Pelican, brownexcept U.S. Atlantic coast, FL, AL (Pelecanus occidentalis)",E,"$779,592","$716,579,084",90.35
112,"Warbler (=wood), Kirtland's (Dendroica kirtlandii)",E,"$767,500","$717,346,584",90.45
113,Cui-ui (Chasmistes cujus),E,"$746,571","$718,093,155",90.54
114,"Wolf, redU.S.A. (portions of NC and TN (Canis rufus)",EXPN,"$742,250","$718,835,405",90.63
115,"Shiner, Topeka (Notropis topeka (=tristis))",E,"$736,804","$719,572,209",90.73
116,"Otter, southern seaexcept where XN (Enhydra lutris nereis)",T,"$734,386","$720,306,595",90.82
117,"Sparrow, Cape Sable seaside (Ammodramus maritimus mirabilis)",E,"$731,274","$721,037,869",90.91
118,"Pronghorn, Sonoran (Antilocapra americana sonoriensis)",E,"$699,240","$721,737,109",91.0
119,"Condor, CaliforniaU.S.A. only (Gymnogyps californianus)",E,"$680,597","$722,417,706",91.09
120,"Topminnow, Gila (incl. Yaqui)U.S.A. only (Poeciliopsis occidentalis)",E,"$667,600","$723,085,306",91.17
121,"Whale, humpback (Megaptera novaeangliae)",E,"$666,282","$723,751,588",91.25
122,"Tadpole shrimp, vernal pool (Lepidurus packardi)",E,"$665,972","$724,417,560",91.34
123,"Pygmy-owl, cactus ferruginousAZ pop. (Glaucidium brasilianum cactorum)",E,"$657,590","$725,075,150",91.42
124,"Mouse, Alabama beach (Peromyscus polionotus ammobates)",E,"$637,500","$725,712,650",91.5
125,"Mouse, Preble's meadow jumping (Zapus hudsonius preblei)",T,"$624,996","$726,337,646",91.58
126,"Checker-mallow, Nelson's (Sidalcea nelsoniana)",T,"$621,980","$726,959,626",91.66
127,"Sucker, June (Chasmistes liorus)",E,"$620,375","$727,580,001",91.74
128,"Snails, Oahu tree (Achatinella spp.)",E,"$613,532","$728,193,533",91.81
129,"Snake, eastern indigo (Drymarchon corais couperi)",T,"$604,529","$728,798,062",91.89
130,"Bat, lesser long-nosed (Leptonycteris curasoae yerbabuenae)",E,"$594,880","$729,392,942",91.97
131,"Crow, Mariana (=aga) (Corvus kubaryi)",E,"$592,189","$729,985,131",92.04
132,Spikedace (Meda fulgida),T,"$591,300","$730,576,431",92.11
133,"Goby, tidewaterEntire (Eucyclogobius newberryi)",E,"$590,809","$731,167,240",92.19
