TABLE 3. REPORTED LAND ACQUISITION EXPENDITURES FOR FY 2004 FOR ENDANGERED AND THREATENED SPECIES,,,,,,,,
,,,,,,,,
Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Fed Total,States Total,Species Total,Type
95,"Bat, gray (Myotis grisescens)",E,$0 ,$0 ,$0 ,"$14,000 ","$14,000 ",Mammals
31,"Bat, Indiana (Myotis sodalis)",E,$0 ,"$500,000 ","$500,000 ","$14,000 ","$514,000 ",Mammals
34,"Bat, Ozark big-eared (Corynorhinus(=Plecotus) townsendii ingens)",E,$0 ,$0 ,$0 ,"$485,600 ","$485,600 ",Mammals
1,"Bear, Louisiana black (Ursusamericanus luteolus)",T,"$1,685,000 ","$9,849,912 ","$11,534,912 ",$0 ,"$11,534,912 ",Mammals
67,"Deer, key (Odocoileus virginianusclavium)",E,"$99,167 ",$0 ,"$99,167 ",$0 ,"$99,167 ",Mammals
15,"Fox, San Joaquin kit (Vulpesmacrotis mutica)",E,"$545,785 ","$352,000 ","$897,785 ",$0 ,"$897,785 ",Mammals
49,"Kangaroo rat, giant (Dipodomysingens)",E,$0 ,"$200,000 ","$200,000 ",$0 ,"$200,000 ",Mammals
53,"Kangaroo rat, Tipton (Dipodomysnitratoides nitratoides)",E,$0 ,"$152,000 ","$152,000 ",$0 ,"$152,000 ",Mammals
59,"Manatee, West Indian (Trichechusmanatus)",E,"$123,600 ",$0 ,"$123,600 ",$0 ,"$123,600 ",Mammals
104,"Prairie dog, Utah (Cynomysparvidens)",T,$0 ,"$1,000 ","$1,000 ",$0 ,"$1,000 ",Mammals
76,"Rabbit, Lower Keys marsh(Sylvilagus palustris hefneri)",E,"$46,667 ",$0 ,"$46,667 ",$0 ,"$46,667 ",Mammals
67,"Rice rat (Oryzomys palustris natator)lower FL Keys",E,"$99,167 ",$0 ,"$99,167 ",$0 ,"$99,167 ",Mammals
