TABLE 3. FY 2005 REPORTED LAND ACQUISITION EXPENDITURES FOR ENDANGERED AND THREATENED SPECIES ,,,,,,,,
,,,,,,,,
Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Fed Total,States Total,Species Total,Type
54,"Bat, gray (Myotis grisescens)",E,"$174,000 ",$0 ,"$174,000 ",$0 ,"$174,000 ",Mammals
81,"Bat, Hawaiian hoary (Lasiurus cinereussemotus)",E,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 ",Mammals
15,"Bat, Indiana (Myotis sodalis)",E,"$221,800 ","$1,304,415 ","$1,526,215 ",$0 ,"$1,526,215 ",Mammals
63,"Bat, Ozark big-eared (Corynorhinus(=Plecotus) townsendii ingens)",E,"$101,500 ",$0 ,"$101,500 ",$0 ,"$101,500 ",Mammals
18,"Bat, Virginia big-eared (Corynorhinus(=Plecotus) townsendii virginianus)",E,"$1,304,000 ",$0 ,"$1,304,000 ",$0 ,"$1,304,000 ",Mammals
31,"Bear, grizzly (Ursus arctos horribilis)experimental, non-essential, portions ofID and MT",EXPN,$0 ,"$627,000 ","$627,000 ",$0 ,"$627,000 ",Mammals
2,"Bear, Louisiana black (Ursus americanusluteolus)",T,"$2,013,000 ","$9,453,000 ","$11,466,000 ",$0 ,"$11,466,000 ",Mammals
48,"Deer, key (Odocoileus virginianusclavium)",E,"$214,500 ",$0 ,"$214,500 ",$0 ,"$214,500 ",Mammals
29,"Fox, San Joaquin kit (Vulpes macrotismutica)",E,"$463,945 ","$259,500 ","$723,445 ",$0 ,"$723,445 ",Mammals
45,"Kangaroo rat, giant (Dipodomys ingens)",E,$0 ,"$259,500 ","$259,500 ",$0 ,"$259,500 ",Mammals
56,"Kangaroo rat, Tipton (Dipodomysnitratoides nitratoides)",E,"$157,265 ",$0 ,"$157,265 ",$0 ,"$157,265 ",Mammals
44,"Squirrel, Virginia northern flying(Glaucomys sabrinus fuscus)",E,"$262,150 ",$0 ,"$262,150 ",$0 ,"$262,150 ",Mammals
,Mammals Subtotal,,"$4,918,160 ","$11,903,415 ","$16,821,575 ",$0 ,"$16,821,575 ",
,Mammals Subtotal Verified,,"$4,918,160 ","$11,903,415 ","$16,821,575 ",$0 ,"$16,821,575 ",
,,,,,,,,
72,"Akepa, Hawaii (honeycreeper) (Loxopscoccineus coccineus)",E,"$21,000 ",$0 ,"$21,000 ",$0 ,"$21,000 ",Birds
72,"Akiapola`au (honeycreeper) (Hemignathusmunroi)",E,"$21,000 ",$0 ,"$21,000 ",$0 ,"$21,000 ",Birds
26,"Coot, Hawaiian (Fulica americana alai)",E,"$755,723 ","$122,860 ","$878,583 ",$0 ,"$878,583 ",Birds
76,"Crane, Mississippi sandhill (Gruscanadensis pulla)",E,"$13,125 ",$0 ,"$13,125 ",$0 ,"$13,125 ",Birds
72,"Creeper, Hawaii (Oreomystis mana)",E,"$21,000 ",$0 ,"$21,000 ",$0 ,"$21,000 ",Birds
75,"Crow, Hawaiian (='alala) (Corvushawaiiensis)",E,"$15,000 ",$0 ,"$15,000 ",$0 ,"$15,000 ",Birds
24,"Duck, Hawaiian (=koloa) (Anas wyvilliana)",E,"$761,723 ","$122,860 ","$884,583 ",$0 ,"$884,583 ",Birds
3,"Eagle, bald (Haliaeetus leucocephalus)lower 48 States",T,"$958,264 ","$6,021,500 ","$6,979,764 ",$0 ,"$6,979,764 ",Birds
28,"Flycatcher, southwestern willow(Empidonax traillii extimus)",E,"$195,833 ","$529,000 ","$724,833 ",$0 ,"$724,833 ",Birds
23,"Gnatcatcher, coastal California (Polioptilacalifornica californica)",T,"$979,166 ",$0 ,"$979,166 ",$0 ,"$979,166 ",Birds
59,"Goose, Hawaiian (Branta (=Nesochen)sandvicensis)",E,"$6,000 ","$122,860 ","$128,860 ",$0 ,"$128,860 ",Birds
81,"Hawk, Hawaiian (='lo) (Buteo solitarius)",E,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 ",Birds
85,"Jay, Florida scrub (Aphelocoma coerulescens)",T,"$2,292 ",$0 ,"$2,292 ",$0 ,"$2,292 ",Birds
26,"Moorhen, Hawaiian common (Gallinulachloropus sandvicensis)",E,"$755,723 ","$122,860 ","$878,583 ",$0 ,"$878,583 ",Birds
43,"Murrelet, marbled (Brachyramphusmarmoratus)  CA, OR, WA",T,"$272,592 ",$0 ,"$272,592 ",$0 ,"$272,592 ",Birds
6,Palila (honeycreeper) (Loxioides bailleui),E,$0 ,"$2,929,000 ","$2,929,000 ",$0 ,"$2,929,000 ",Birds
26,"Stilt, Hawaiian (Himantopus mexicanusknudseni)",E,"$755,723 ","$122,860 ","$878,583 ",$0 ,"$878,583 ",Birds
51,"Tern, least (Sterna antillarum)interior pop.",E,"$199,000 ",$0 ,"$199,000 ",$0 ,"$199,000 ",Birds
21,"Tern, roseate (Sterna dougallii dougallii)northeast U.S. nesting pop.",E,"$1,040,000 ",$0 ,"$1,040,000 ",$0 ,"$1,040,000 ",Birds
33,"Vireo, black-capped (Vireo atricapilla)",E,"$530,300 ",$0 ,"$530,300 ",$0 ,"$530,300 ",Birds
52,"Vireo, least Bell's (Vireo bellii pusillus)",E,"$195,833 ",$0 ,"$195,833 ",$0 ,"$195,833 ",Birds
33,"Warbler (=wood), golden-cheeked(Dendroica chrysoparia)",E,"$530,300 ",$0 ,"$530,300 ",$0 ,"$530,300 ",Birds
4,"Woodpecker, ivory-billed (Campephilusprincipalis)",E,"$4,104,000 ","$1,500,000 ","$5,604,000 ",$0 ,"$5,604,000 ",Birds
5,"Woodpecker, red-cockaded (Picoidesborealis)",E,"$13,925 ",$0 ,"$13,925 ","$4,310,976 ","$4,324,901 ",Birds
81,"`O`u (honeycreeper) (Psittirostrapsittacea)",E,"$6,000 ",$0 ,"$6,000 ",$0 ,"$6,000 ",Birds
,Birds Subtotal,,"$12,159,522 ","$11,593,800 ","$23,753,322 ","$4,310,976 ","$28,064,298 ",
,Birds Subtotal Verified,,"$12,159,522 ","$11,593,800 ","$23,753,322 ","$4,310,976 ","$28,064,298 ",
,,,,,,,,
35,"Lizard, blunt-nosed leopard (Gambeliasilus)",E,"$157,265 ","$259,500 ","$416,765 ",$0 ,"$416,765 ",Reptiles
32,"Plymouth Red-Bellied Turtle (Pseudemysrubriventris bangsi)",E,"$536,900 ",$0 ,"$536,900 ",$0 ,"$536,900 ",Reptiles
47,"Sea turtle, green (Chelonia mydas)FL, Mexico nesting pops.",E,"$233,000 ",$0 ,"$233,000 ",$0 ,"$233,000 ",Reptiles
47,"Sea turtle, leatherback (Dermochelyscoriacea)",E,"$233,000 ",$0 ,"$233,000 ",$0 ,"$233,000 ",Reptiles
47,"Sea turtle, loggerhead (Caretta caretta)",T,"$233,000 ",$0 ,"$233,000 ",$0 ,"$233,000 ",Reptiles
85,"Skink, sand (Neoseps reynoldsi)",T,"$2,292 ",$0 ,"$2,292 ",$0 ,"$2,292 ",Reptiles
84,"Snake, eastern indigo (Drymarchon coraiscouperi)",T,"$3,092 ",$0 ,"$3,092 ",$0 ,"$3,092 ",Reptiles
16,"Snake, giant garter (Thamnophis gigas)",T,"$1,517,425 ",$0 ,"$1,517,425 ",$0 ,"$1,517,425 ",Reptiles
