Rank,Species (50 CFR Part 17),Status,"FWSTotal","OtherFed","FedTotal","StatesTotal","SpeciesTotal"
,,,,,,,
,Mammals,,,,,,
66.0,"Bat, Hawaiian hoary (Lasiurus cinereussemotus)",E,"$128,178",$0,"$128,178",$0,"$128,178"
46.0,"Bat, Indiana (Myotis sodalis)",E,"$554,150",$0,"$554,150",$0,"$554,150"
88.0,"Bat, Ozark big-eared (Corynorhinus(=Plecotus) townsendii ingens)",E,$0,$0,$0,"$12,000","$12,000"
6.0,"Bear, grizzly (Ursus arctos horribilis)lower 48 States, except where listed as anexperimental population or delisted",T,"$1,944,174","$2,011,000","$3,955,174",$0,"$3,955,174"
16.0,"Bear, Louisiana black (Ursus americanusluteolus)",T,"$2,697,400",$0,"$2,697,400",$0,"$2,697,400"
41.0,"Kangaroo rat, Fresno (Dipodomysnitratoides exilis)",E,$0,"$437,500","$437,500",$0,"$437,500"
56.0,"Kangaroo rat, Tipton (Dipodomysnitratoides nitratoides)",E,$0,"$189,500","$189,500",$0,"$189,500"
9.0,"Lynx, Canada (Lynx canadensis)lower 48 States DPS",T,"$970,053","$1,808,000","$2,778,053",$0,"$2,778,053"
50.0,"Mouse, Preble's meadow jumping (Zapushudsonius preblei)Colorado",T,$0,$0,$0,"$250,661","$250,661"
87.0,"Rabbit, pygmy (Brachylagus idahoensis)Columbia Basin DPS",E,$0,"$20,000","$20,000",$0,"$20,000"
12.0,"Rabbit, riparian brush (Sylvilagusbachmani riparius)",E,"$2,190,000","$59,500","$2,249,500",$0,"$2,249,500"
65.0,"Seal, Hawaiian monk (Monachusschauinslandi)",E,"$128,179",$0,"$128,179",$0,"$128,179"
8.0,"Wolf, gray (Canis lupus)Lower 48 States, except where delistedand where EXPN. Mexico.",E,"$1,944,174","$1,800,000","$3,744,174",$0,"$3,744,174"
76.0,"Woodrat, riparian (=San Joaquin Valley)(Neotoma fuscipes riparia)",E,$0,"$59,500","$59,500",$0,"$59,500"
,,,,,,,
,Mammals Subtotal,,"$10,556,308","$6,385,000","$16,941,308","$262,661","$17,203,969"
,,,,,,,
,Birds,,,,,,
10.0,"Caracara, Audubon's crested (Polyborusplancus audubonii)  FL pop.",T,$0,"$2,503,747","$2,503,747",$0,"$2,503,747"
65.0,"Coot, Hawaiian (Fulica americana alai)",E,"$128,179",$0,"$128,179",$0,"$128,179"
75.0,"Crane, whooping (Grus americana)except where EXPN",E,$0,"$10,500","$10,500","$50,000","$60,500"
65.0,"Duck, Hawaiian (=koloa) (Anas wyvilliana)",E,"$128,179",$0,"$128,179",$0,"$128,179"
65.0,"Duck, Laysan (Anas laysanensis)",E,"$128,179",$0,"$128,179",$0,"$128,179"
1.0,"Eagle, bald (Haliaeetus leucocephalus)lower 48 States",T,"$15,316,257","$4,517,620","$19,833,877",$0,"$19,833,877"
34.0,"Flycatcher, southwestern willow(Empidonax traillii extimus)",E,"$26,000","$346,200","$372,200","$335,619","$707,819"
84.0,"Gnatcatcher, coastal California (Polioptilacalifornica californica)",T,"$26,000",$0,"$26,000",$0,"$26,000"
66.0,"Goose, Hawaiian (Branta (=Nesochen)",E,"$128,178",$0,"$128,178",$0,"$128,178"
,sandvicensis),,,,,,
97.0,"Jay, Florida scrub (Aphelocomacoerulescens)",T,"$2,033",$0,"$2,033",$0,"$2,033"
65.0,"Moorhen, Hawaiian common (Gallinulachloropus sandvicensis)",E,"$128,179",$0,"$128,179",$0,"$128,179"
15.0,"Murrelet, marbled (Brachyramphusmarmoratus)  CA, OR, WA",T,"$1,944,174",$0,"$1,944,174",$0,"$1,944,174"
15.0,"Owl, northern spotted (Strix occidentaliscaurina)",T,"$1,944,174",$0,"$1,944,174",$0,"$1,944,174"
61.0,"Plover, piping (Charadrius melodus)except Great Lakes watershed",T,$0,"$10,000","$10,000","$150,000","$160,000"
66.0,"Stilt, Hawaiian (Himantopus mexicanusknudseni)",E,"$128,178",$0,"$128,178",$0,"$128,178"
7.0,"Stork, wood (Mycteria americana)AL, FL, GA, SC",E,"$2,554,548","$2,803,747","$5,358,295",$0,"$5,358,295"
40.0,"Tern, least (Sterna antillarum)interior pop.",E,"$777,884","$10,000","$787,884","$50,000","$837,884"
71.0,"Vireo, black-capped (Vireo atricapilla)",E,$0,"$85,000","$85,000",$0,"$85,000"
70.0,"Vireo, least Bell's (Vireo bellii pusillus)",E,"$26,000","$59,500","$85,500",$0,"$85,500"
55.0,"Warbler (=wood), golden-cheeked(Dendroica chrysoparia)",E,$0,"$195,000","$195,000",$0,"$195,000"
5.0,"Woodpecker, ivory-billed (Campephilusprincipalis)",E,"$1,494,500","$3,150,000","$4,644,500","$180,500","$4,825,000"
