Rank,Species (50 CFR Part 17),Status,"SpeciesTotal","CumulativeTotal"
1,"Sea-lion, Steller (Eumetopias jubatus)western pop.",E,"$53,232,788","$53,232,788"
2,"Sturgeon, pallid (Scaphirhynchus albus)",E,"$47,011,127","$100,243,915"
3,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)spring/summer Snake R.",T,"$37,973,629","$138,217,544"
4,"Trout, bull (Salvelinus confluentus)U.S.A., conterminous, lower 48 states",T,"$33,671,958","$171,889,502"
5,"Steelhead (Oncorhynchus (=Salmo) mykiss)middle Columbia R.",T,"$33,556,143","$205,445,645"
6,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)fall Snake R.",T,"$31,117,391","$236,563,036"
7,"Steelhead (Oncorhynchus (=Salmo) mykiss)Snake R. Basin",T,"$28,826,707","$265,389,743"
8,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)spring upper Columbia R.",E,"$27,632,088","$293,021,831"
9,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)Puget Sound",T,"$25,658,281","$318,680,112"
10,"Salmon, coho (Oncorhynchus (=Salmo) kisutch)OR, CA pop.",T,"$23,824,690","$342,504,802"
11,"Steelhead (Oncorhynchus (=Salmo) mykiss)upper Columbia R. Basin",T,"$23,523,494","$366,028,296"
12,"Salmon, sockeye (Oncorhynchus (=Salmo) nerka)U.S.A. (Snake River, ID stock wherever found.)",E,"$20,127,264","$386,155,560"
13,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)lower Columbia R.",T,"$19,311,813","$405,467,373"
14,"Woodpecker, red-cockaded (Picoides borealis)",E,"$17,915,391","$423,382,764"
15,"Whale, right (Balaena glacialis (incl. australis))",E,"$17,686,493","$441,069,257"
16,"Manatee, West Indian (Trichechus manatus)",E,"$14,707,167","$455,776,424"
17,"Steelhead (Oncorhynchus (=Salmo) mykiss)lower Columbia R.",T,"$13,601,318","$469,377,742"
18,"Plover, piping (Charadrius melodus)except Great Lakes watershed",T,"$12,976,569","$482,354,311"
19,"Tern, least (Sterna antillarum)interior pop.",E,"$12,066,118","$494,420,429"
20,"Tortoise, desert (Gopherus agassizii)U.S.A., except in Sonoran Desert",T,"$11,042,343","$505,462,772"
21,"Salmon, coho (Oncorhynchus (=Salmo) kisutch)Lower Columbia River",T,"$10,382,740","$515,845,512"
22,"Flycatcher, southwestern willow (Empidonax traillii extimus)",E,"$10,218,765","$526,064,277"
23,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)upper Willamette R.",T,"$9,834,427","$535,898,704"
24,"Salmon, chum (Oncorhynchus (=Salmo) keta)Columbia R.",T,"$9,701,549","$545,600,253"
25,"Minnow, Rio Grande silvery (Hybognathus amarus)",E,"$9,680,928","$555,281,181"
26,"Owl, northern spotted (Strix occidentalis caurina)",T,"$9,511,004","$564,792,185"
27,"Eagle, bald (Haliaeetus leucocephalus)lower 48 States",DM,"$9,456,318","$574,248,503"
28,"Sucker, razorback (Xyrauchen texanus)entire",E,"$9,316,962","$583,565,465"
29,"Steelhead (Oncorhynchus (=Salmo) mykiss)upper Willamette R.",T,"$8,008,473","$591,573,938"
30,"Salmon, Atlantic (Salmo salar)Gulf of Maine Atlantic Salmon DPS",E,"$7,897,056","$599,470,994"
31,"Sturgeon, white (Acipenser transmontanus)U.S.A. (ID, MT), Canada (B.C.), Kootenai R. system",E,"$7,420,663","$606,891,657"
32,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)CA Central Valley spring-run",T,"$6,907,063","$613,798,720"
33,"Sea turtle, leatherback (Dermochelys coriacea)",E,"$6,900,968","$620,699,688"
34,"Beetle, valley elderberry longhorn (Desmocerus californicus dimorphus)",T,"$6,712,927","$627,412,615"
35,"Smelt, delta (Hypomesus transpacificus)",T,"$6,678,869","$634,091,484"
36,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha)winter Sacramento R.",E,"$6,636,475","$640,727,959"
37,"Sea turtle, loggerhead (Caretta caretta)",T,"$6,477,966","$647,205,925"
38,"Chub, humpback (Gila cypha)entire",E,"$6,359,209","$653,565,134"
39,"Bat, Indiana (Myotis sodalis)",E,"$6,291,119","$659,856,253"
40,"Sea-lion, Steller (Eumetopias jubatus)eastern pop.",T,"$5,783,494","$665,639,747"
41,"Salmon, chum (Oncorhynchus (=Salmo) keta)summer-run Hood Canal",T,"$5,615,013","$671,254,760"
42,"Pikeminnow (=squawfish), Colorado (Ptychocheilus lucius)except Salt and Verde R. drainages, AZ",E,"$5,290,433","$676,545,193"
43,"Salmon, sockeye (Oncorhynchus (=Salmo) nerka)U.S.A. (Ozette Lake, WA)",T,"$4,900,653","$681,445,846"
44,"Trout, Lahontan cutthroat (Oncorhynchus clarki henshawi)",T,"$4,874,485","$686,320,331"
45,"Chub, bonytail (Gila elegans)entire",E,"$4,798,640","$691,118,971"
46,"Panther, Florida (Puma (=Felis) concolor coryi)",E,"$4,788,873","$695,907,844"
47,"Bear, grizzly (Ursus arctos horribilis)lower 48 States, except where listed as an experimental population or delisted",T,"$4,774,856","$700,682,700"
