TABLE 3. REPORTED LAND ACQUISITION EXPENDITURES FOR FY 2007 FOR ENDANGERED AND THREATENEDSPECIES,,,,,,,,
,,,,,,,,
Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Fed Total,States Total,Species Total,Type
88,"Bat, gray (Myotis grisescens)",E,"$40,000 ",$0 ,"$40,000 ",$0 ,"$40,000 ",Mammals
22,"Bat, Indiana (Myotis sodalis)",E,"$900,900 ","$201,995 ","$1,102,895 ","$795,000 ","$1,897,895 ",Mammals
94,"Bat, Ozark big-eared (Corynorhinus(=Plecotus) townsendii ingens)",E,$0 ,$0 ,$0 ,"$17,700 ","$17,700 ",Mammals
31,"Bear, grizzly (Ursus arctos horribilis)lower 48 States, except where listed as anexperimental population or delisted",T,$0 ,$0 ,$0 ,"$1,000,000 ","$1,000,000 ",Mammals
5,"Bear, Louisiana black (Ursus americanusluteolus)",T,"$4,589,000 ","$837,000 ","$5,426,000 ",$0 ,"$5,426,000 ",Mammals
83,"Deer, key (Odocoileus virginianus clavium)",E,"$58,300 ",$0 ,"$58,300 ",$0 ,"$58,300 ",Mammals
27,"Fox, San Joaquin kit (Vulpes macrotismutica)",E,$0 ,"$1,369,477 ","$1,369,477 ",$0 ,"$1,369,477 ",Mammals
76,Jaguar (Panthera onca),E,"$103,200 ",$0 ,"$103,200 ",$0 ,"$103,200 ",Mammals
76,"Jaguarundi, Gulf Coast (Herpailurus (=Felis)yagouaroundi cacomitli)",E,"$103,200 ",$0 ,"$103,200 ",$0 ,"$103,200 ",Mammals
93,"Kangaroo rat, Fresno (Dipodomys nitratoidesexilis)",E,$0 ,"$20,000 ","$20,000 ",$0 ,"$20,000 ",Mammals
32,"Kangaroo rat, Tipton (Dipodomys nitratoidesnitratoides)",E,$0 ,"$868,477 ","$868,477 ",$0 ,"$868,477 ",Mammals
17,"Lynx, Canada (Lynx canadensis)lower 48 States DPS",T,$0 ,$0 ,$0 ,"$2,000,000 ","$2,000,000 ",Mammals
79,"Mouse, Alabama beach (Peromyscuspolionotus ammobates)",E,"$87,400 ",$0 ,"$87,400 ",$0 ,"$87,400 ",Mammals
68,"Mouse, Preble's meadow jumping (Zapushudsonius preblei)Colorado",T,$0 ,$0 ,$0 ,"$147,142 ","$147,142 ",Mammals
76,Ocelot (Leopardus (=Felis) pardalis),E,"$103,200 ",$0 ,"$103,200 ",$0 ,"$103,200 ",Mammals
83,"Rabbit, Lower Keys marsh (Sylvilaguspalustris hefneri)",E,"$58,300 ",$0 ,"$58,300 ",$0 ,"$58,300 ",Mammals
52,"Rabbit, riparian brush (Sylvilagus bachmaniriparius)",E,$0 ,"$300,000 ","$300,000 ",$0 ,"$300,000 ",Mammals
67,"Rice rat (Oryzomys palustris natator)lower FL Keys",E,"$173,300 ",$0 ,"$173,300 ",$0 ,"$173,300 ",Mammals
41,"Sea-lion, Steller (Eumetopias jubatus)eastern pop.",T,"$570,000 ",$0 ,"$570,000 ",$0 ,"$570,000 ",Mammals
43,"Shrew, Buena Vista Lake ornate (Sorexornatus relictus)",E,$0 ,"$548,000 ","$548,000 ",$0 ,"$548,000 ",Mammals
59,"Squirrel, Delmarva Peninsula fox (Sciurusniger cinereus)Entire, except Sussex Co., DE",E,"$267,500 ",$0 ,"$267,500 ",$0 ,"$267,500 ",Mammals
72,"Squirrel, Virginia northern flying (Glaucomyssabrinus fuscus)",E,"$120,000 ",$0 ,"$120,000 ",$0 ,"$120,000 ",Mammals
89,"Whale, bowhead (Balaena mysticetus)",E,"$37,300 ",$0 ,"$37,300 ",$0 ,"$37,300 ",Mammals
96,"Whale, finback (Balaenoptera physalus)",E,"$17,000 ",$0 ,"$17,000 ",$0 ,"$17,000 ",Mammals
96,"Whale, gray (Eschrichtius robustus)W Pacific Ocean",E,"$17,000 ",$0 ,"$17,000 ",$0 ,"$17,000 ",Mammals
96,"Whale, humpback (Megaptera novaeangliae)",E,"$17,000 ",$0 ,"$17,000 ",$0 ,"$17,000 ",Mammals
96,"Whale, Sei (Balaenoptera borealis)",E,"$17,000 ",$0 ,"$17,000 ",$0 ,"$17,000 ",Mammals
15,"Wolf, gray (Canis lupus), Lower 48 States,except where delisted and EXPN; Mexico.",E,"$200,000 ",$0 ,"$200,000 ","$2,000,000 ","$2,200,000 ",Mammals
81,"Wolf, red (Canis rufus)except where EXPN",E,"$82,500 ",$0 ,"$82,500 ",$0 ,"$82,500 ",Mammals
64,"Woodrat, riparian (=San Joaquin Valley)(Neotoma fuscipes riparia)",E,$0 ,"$200,000 ","$200,000 ",$0 ,"$200,000 ",Mammals
,Mammals Subtotal,,"$7,562,100 ","$4,344,949 ","$11,907,049 ","$5,959,842 ","$17,866,891 ",
,Mammals Subtotal Verified,,"$7,562,100 ","$4,344,949 ","$11,907,049 ","$5,959,842 ","$17,866,891 ",
,,,,,,,,
