TABLE 3. FY 2009 REPORTED LAND ACQUISITION EXPENDITURES FOR ENDANGERED AND THREATENED SPECIES,,,,,,,,
,,,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Fed Total,States Total,Species Total
Mammals,74,"Bat, gray (Myotis",E,"$100,000 ",$0 ,"$100,000 ",$0 ,"$100,000 "
,,grisescens),,,,,,
,39,"Bat, Indiana",E,"$739,080 ","$2,280 ","$741,360 ",$0 ,"$741,360 "
,,(Myotis sodalis),,,,,,
,74,"Bat, Ozark big-",E,"$100,000 ",$0 ,"$100,000 ",$0 ,"$100,000 "
,,eared (Corynor-,,,,,,
,,hinus(=Plecotus),,,,,,
,,townsendii,,,,,,
,,ingens),,,,,,
,62,"Bear, grizzly",T,"$230,000 ",$0 ,"$230,000 ",$0 ,"$230,000 "
,,(Ursus arctos,,,,,,
,,horribilis) -,,,,,,
,,"lower 48 States,",,,,,,
,,except where,,,,,,
,,EXPN or delisted,,,,,,
,31,"Bear, grizzly",EXPN,$0 ,$0 ,$0 ,"$1,341,006 ","$1,341,006 "
,,(Ursus arctos,,,,,,
,,horribilis) -,,,,,,
,,"experimental,",,,,,,
,,"non-essential,",,,,,,
,,portions of ID,,,,,,
,,and MT,,,,,,
,26,"Bear, Louisiana",T,"$1,838,000 ",$0 ,"$1,838,000 ",$0 ,"$1,838,000 "
,,black (Ursus,,,,,,
,,americanus,,,,,,
,,luteolus),,,,,,
,84,"Deer, key",E,"$33,625 ",$0 ,"$33,625 ",$0 ,"$33,625 "
,,(Odocoileus,,,,,,
,,virginianus,,,,,,
,,clavium),,,,,,
,36,"Fox, San Joaquin",E,"$340,667 ","$652,000 ","$992,667 ",$0 ,"$992,667 "
,,kit,,,,,,
,,(Vulpes macrotis,,,,,,
,,mutica),,,,,,
,87,Jaguar (Panthera,E,"$23,685 ",$0 ,"$23,685 ",$0 ,"$23,685 "
,,onca),,,,,,
,87,"Jaguarundi, Gulf",E,"$23,685 ",$0 ,"$23,685 ",$0 ,"$23,685 "
,,Coast,,,,,,
,,(Herpailurus,,,,,,
,,(=Felis),,,,,,
,,yagouaroundi,,,,,,
,,cacomitli),,,,,,
,44,"Kangaroo rat,",E,$0 ,"$637,000 ","$637,000 ",$0 ,"$637,000 "
,,Tipton,,,,,,
,,(Dipodomys,,,,,,
,,nitratoides,,,,,,
,,nitratoides),,,,,,
,23,"Lynx, Canada",T,$0 ,$0 ,$0 ,"$2,198,525 ","$2,198,525 "
,,(Lynx,,,,,,
,,canadensis) -,,,,,,
,,(Contig. U.S.,,,,,,
,,DPS),,,,,,
,81,"Manatee, West",E,"$60,956 ",$0 ,"$60,956 ",$0 ,"$60,956 "
,,Indian,,,,,,
,,(Trichechus,,,,,,
,,manatus),,,,,,
,87,Ocelot,E,"$23,685 ",$0 ,"$23,685 ",$0 ,"$23,685 "
,,(Leopardus,,,,,,
,,(=Felis),,,,,,
,,pardalis),,,,,,
,29,"Panther, Florida",E,$0 ,"$1,500,000 ","$1,500,000 ",$0 ,"$1,500,000 "
,,(Puma (=Felis),,,,,,
,,concolor coryi),,,,,,
,103,"Prairie dog, Utah",T,$0 ,$300 ,$300 ,$0 ,$300 
,,(Cynomys,,,,,,
,,parvidens),,,,,,
,84,"Rabbit, Lower",E,"$33,625 ",$0 ,"$33,625 ",$0 ,"$33,625 "
,,Keys marsh,,,,,,
,,(Sylvilagus,,,,,,
,,palustris hefneri),,,,,,
,84,Rice rat,E,"$33,625 ",$0 ,"$33,625 ",$0 ,"$33,625 "
,,(Oryzomys,,,,,,
,,palustris natator),,,,,,
,,#NAME?,,,,,,
,89,"Sea-lion, Steller",T,"$8,333 ","$8,475 ","$16,808 ",$0 ,"$16,808 "
,,(Eumetopias,,,,,,
,,jubatus) - eastern,,,,,,
,,pop.,,,,,,
,95,"Sea-lion, Steller",E,$0 ,"$8,475 ","$8,475 ",$0 ,"$8,475 "
,,(Eumetopias,,,,,,
,,jubatus) -,,,,,,
,,western pop.,,,,,,
,102,"Seal, Hawaiian",E,$0 ,$460 ,$460 ,$0 ,$460 
,,monk (Monachus,,,,,,
,,schauinslandi),,,,,,
,71,"Squirrel,",E,"$121,050 ",$0 ,"$121,050 ",$0 ,"$121,050 "
,,Delmarva,,,,,,
,,Peninsula fox,,,,,,
,,(Sciurus niger,,,,,,
,,cinereus) -,,,,,,
,,"Entire, except",,,,,,
,,"Sussex Co,DE",,,,,,
,92,"Whale, bowhead",E,$0 ,"$10,861 ","$10,861 ",$0 ,"$10,861 "
,,(Balaena,,,,,,
,,mysticetus),,,,,,
,11,"Wolf, gray",E,"$912,483 ",$0 ,"$912,483 ","$3,290,191 ","$4,202,674 "
,,(Canis lupus) -,,,,,,
,,"Lower 48, except",,,,,,
,,MN and  EXPN;,,,,,,
,,Mexico.,,,,,,
Mammals,,,,"$4,622,499 ","$2,819,851 ","$7,442,350 ","$6,829,722 ","$14,272,072 "
subtotal,,,,,,,,
Birds,6,"Caracara,",T,$0 ,"$7,500,000 ","$7,500,000 ",$0 ,"$7,500,000 "
,,Audubon's,,,,,,
,,crested,,,,,,
,,(Polyborus,,,,,,
,,plancus,,,,,,
,,audubonii) - FL,,,,,,
,24,"Crane, whooping",EXPN,$0 ,"$2,000,000 ","$2,000,000 ",$0 ,"$2,000,000 "
,,(Grus,,,,,,
,,americana) -,,,,,,
,,"U.S.A. (CO, ID,",,,,,,
,,"FL, NM, UT and",,,,,,
,,western WY),,,,,,
,10,"Crane, whooping",E,"$4,480,757 ","$499,000 ","$4,979,757 ","$398,637 ","$5,378,394 "
,,(Grus,,,,,,
,,americana) -,,,,,,
,,except  EXPN,,,,,,
,87,"Curlew, Eskimo",E,"$23,685 ",$0 ,"$23,685 ",$0 ,"$23,685 "
,,(Numenius,,,,,,
,,borealis),,,,,,
,14,"Eagle, bald",T,$0 ,"$3,167,000 ","$3,167,000 ",$0 ,"$3,167,000 "
,,(Haliaeetus,,,,,,
,,leucocephalus) -,,,,,,
,,Sonoran Desert,,,,,,
,,DPS,,,,,,
,76,"Eider, spectacled",T,"$93,333 ",$0 ,"$93,333 ",$0 ,"$93,333 "
,,(Somateria,,,,,,
,,fischeri),,,,,,
,76,"Eider, Steller's",T,"$93,333 ",$0 ,"$93,333 ",$0 ,"$93,333 "
,,(Polysticta,,,,,,
,,stelleri) - AK,,,,,,
,,breeding pop.,,,,,,
,87,"Falcon, northern",E,"$23,685 ",$0 ,"$23,685 ",$0 ,"$23,685 "
,,aplomado (Falco,,,,,,
,,femoralis,,,,,,
,,septentrionalis),,,,,,
,12,"Flycatcher,",E,"$12,500 ","$3,920,200 ","$3,932,700 ",$0 ,"$3,932,700 "
,,southwestern,,,,,,
,,willow,,,,,,
,,(Empidonax,,,,,,
,,traillii extimus),,,,,,
,91,"Gnatcatcher,",T,"$12,500 ",$0 ,"$12,500 ",$0 ,"$12,500 "
,,coastal California,,,,,,
,,(Polioptila,,,,,,
,,californica,,,,,,
,,californica),,,,,,
,6,"Kite, Everglade",E,$0 ,"$7,500,000 ","$7,500,000 ",$0 ,"$7,500,000 "
,,snail,,,,,,
,,(Rostrhamus,,,,,,
,,sociabilis,,,,,,
,,plumbeus) - FL,,,,,,
,27,"Murrelet,",T,$0 ,$0 ,$0 ,"$1,700,000 ","$1,700,000 "
,,marbled,,,,,,
,,(Brachyramphus,,,,,,
,,marmoratus) -,,,,,,
,,"CA, OR, WA",,,,,,
,34,"Owl, northern",T,$0 ,$0 ,$0 ,"$1,144,255 ","$1,144,255 "
,,spotted (Strix,,,,,,
,,occidentalis,,,,,,
,,caurina),,,,,,
,16,"Pelican, brown",DM,"$2,927,219 ",$0 ,"$2,927,219 ",$0 ,"$2,927,219 "
,,(Pelecanus,,,,,,
,,occidentalis) -,,,,,,
,,except U.S.,,,,,,
,,"Atlantic coast,",,,,,,
,,"FL, AL",,,,,,
