"TABLE 2. SPECIES RANKED IN DESCENDING ORDER OF TOTAL FY2010 REPORTED EXPENDITURES, NOT INCLUDING LAND ACQUISITION COSTS",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Rank,Rank,Species (50 CFR Part 17),Species (50 CFR Part 17),Status,Status,,Species,,,Cumulatative,,,,
,,,,,,,,,Total,Total,,,,
1,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - spring/summer Snake R.",T,"$51,062,511","$51,062,511",,,,,,,,,,
,2,,,Steelhead (Oncorhynchus (=Salmo) mykiss) - middle Columbia R.,,,T,,,"$48,065,029",,,"99,127,540",
3,Steelhead (Oncorhynchus (=Salmo) mykiss) - Snake R. Basin,T,"$45,834,199","$144,961,739",,,,,,,,,,
,4,,,"Trout, bull (Salvelinus confluentus) - U.S.A., conterminous, lower 48 states",,,T,,,"$43,809,838",,,"188,771,577",
5,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - winter Sacramento R.",E,"$40,814,218","$229,585,795",,,,,,,,,,
,6,,,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - fall Snake R.",,,T,,,"$33,938,220",,,"263,524,015",
7,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - spring upper Columbia R.",E,"$30,304,423","$293,828,438",,,,,,,,,,
,8,,,Steelhead (Oncorhynchus (=Salmo) mykiss) - upper Columbia R. Basin,,,T,,,"$29,151,942",,,"322,980,380",
9,"Woodpecker, red-cockaded (Picoides borealis)",E,"$25,194,067","$348,174,447",,,,,,,,,,
,10,,,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - lower Columbia R.",,,T,,,"$23,392,671",,,"371,567,118",
11,"Sturgeon, pallid (Scaphirhynchus albus)",E,"$22,696,252","$394,263,370",,,,,,,,,,
,12,,,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - OR, CA pop.",,,T,,,"$19,572,047",,,"413,835,417",
13,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - upper Willamette R.",T,"$19,410,149","$433,245,566",,,,,,,,,,
,14,,,Steelhead (Oncorhynchus (=Salmo) mykiss) - lower Columbia R.,,,T,,,"$18,002,939",,,"451,248,505",
15,"Salmon, sockeye (Oncorhynchus (=Salmo) nerka) - U.S.A. (Snake River, ID stockwherever found.)",E,"$17,235,935","$468,484,440",,,,,,,,,,
,16,,,"Sea-lion, Steller (Eumetopias jubatus) - western pop.",,,E,,,"$16,679,395",,,"485,163,835",
17,"Sea-lion, Steller (Eumetopias jubatus) - eastern pop.",T,"$16,568,504","$501,732,339",,,,,,,,,,
