Group Name,Rank,Species (50 CFR 17),Status,FWS To tal,Other Fed,Federal Total,States Total,Species Total
Mammals,89,"Bat, gray (Myotis",E,"$79,360","$42,000","$121,360","$71,500","$192,860"
"",,grisescens),,,,,,
"",7,"Bat, Indiana (Myotis",E,"$796,442","$8,051,500","$8,847,942",$0,"$8,847,942"
"",,sodalis),,,,,,
"",106,"Bat, Ozark big-eared",E,$0,$0,$0,"$71,100","$71,100"
"",,(Corynorhinus,,,,,,
"",,(=Plecotus) townsendii,,,,,,
"",,ingens),,,,,,
"",76,"Bear, grizzly (Ursus",T,$0,"$300,000","$300,000",$0,"$300,000"
"",,arctos horribilis) -,,,,,,
"",,"lower 48 States, except",,,,,,
"",,where EXPNor delisted,,,,,,
"",11,"Bear, Louisiana black",T,$0,"$5,971,437","$5,971,437",$0,"$5,971,437"
"",,(Ursus americanus,,,,,,
"",,luteolus),,,,,,
"",123,"Bear, polar (Ursus",T,"$8,400",$0,"$8,400",$0,"$8,400"
"",,maritimus),,,,,,
"",119,"Deer, key (Odocoileus",E,"$18,714",$0,"$18,714",$0,"$18,714"
"",,virginianus clavium),,,,,,
"",28,"Fox, San Joaquin kit",E,$0,"$2,578,400","$2,578,400",$0,"$2,578,400"
"",,(Vulpes macrotis,,,,,,
"",,mutica),,,,,,
"",101,Jaguar (Panthera onca),E,"$114,521",$0,"$114,521",$0,"$114,521"
"",85,"Jaguarundi, Sinaloan",E,"$207,683",$0,"$207,683",$0,"$207,683"
"",,(Herpailurus (=Felis),,,,,,
"",,yagouaroundi tolteca),,,,,,
"",58,"Kangaroo rat, giant",E,$0,"$649,000","$649,000",$0,"$649,000"
"",,(Dipodomys ingens),,,,,,
"",28,"Kangaroo rat, Tipton",E,$0,"$2,578,400","$2,578,400",$0,"$2,578,400"
"",,(Dipodomys nitratoides,,,,,,
"",,nitratoides),,,,,,
"",22,"Lynx, Canada (Lynx",T,$0,"$200,000","$200,000","$2,913,225","$3,113,225"
"",,canadensis) -,,,,,,
"",,Contiguous U.S. DPS,,,,,,
"",78,"Manatee, West Indian",E,"$50,000",$0,"$50,000","$236,000","$286,000"
"",,(Trichechus manatus),,,,,,
"",133,"Mountain beaver, Point",E,$0,"$1,280","$1,280",$0,"$1,280"
"",,Arena (Aplodontia rufa,,,,,,
"",,nigra),,,,,,
