Unnamed: 0,Rank,Species (50 CFR Part 17),Status,Species Total,Cumulatative Total
,1,Steelhead (Oncorhynchus (=Salmo) mykiss) - Snake R. Basin,T,"$67,559,317","$67,559,317"
,2,Steelhead (Oncorhynchus (=Salmo) mykiss) - middle Columbia R.,T,"$67,401,574","$134,960,891"
,3,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Snake",T,"$60,832,177","$195,793,068"
,River spring/summer-run ESU,,,,
,4,"Sturgeon, pallid (Scaphirhynchus albus)",E,"$53,827,474","$249,620,542"
,5,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Snake",T,"$49,047,500","$298,668,042"
,River fall-run ESU,,,,
,6,Steelhead (Oncorhynchus (=Salmo) mykiss) - upper Columbia R.,T,"$41,683,568","$340,351,610"
,Basin,,,,
,7,"Woodpecker, red-cockaded (Picoides borealis)",E,"$37,900,480","$378,252,090"
,8,"Trout, bull (Salvelinus confluentus) - conterminous, lower 48 states",T,"$37,697,010","$415,949,100"
,9,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Upper",E,"$35,707,536","$451,656,636"
,Columbia spring-run ESU,,,,
,10,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Upper",T,"$30,213,869","$481,870,505"
,Willamette River ESU,,,,
,11,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Lower",T,"$30,180,634","$512,051,139"
,Columbia River ESU,,,,
,12,"Salmon, sockeye (Oncorhynchus (=Salmo) nerka) - Snake River, ID",E,"$25,098,251","$537,149,390"
,stock wherever found.,,,,
,13,"Sea-lion, Steller (Eumetopias jubatus) - western pop.",E,"$22,254,726","$559,404,116"
,14,Steelhead (Oncorhynchus (=Salmo) mykiss) - lower Columbia R.,T,"$21,176,753","$580,580,869"
,15,"Owl, northern spotted (Strix occidentalis caurina)",T,"$20,465,308","$601,046,177"
,16,Steelhead (Oncorhynchus (=Salmo) mykiss) - upper Willamette R.,T,"$20,190,094","$621,236,271"
,17,"Sea-lion, Steller (Eumetopias jubatus) - eastern pop.",T,"$17,960,107","$639,196,378"
,18,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - Southern Oregon–",T,"$17,596,555","$656,792,933"
,Northern California Coast ESU,,,,
,19,"Smelt, delta (Hypomesus transpacificus)",T,"$17,263,815","$674,056,748"
,20,"Flycatcher, southwestern willow (Empidonax traillii extimus)",E,"$16,841,162","$690,897,910"
,21,"Salmon, chum (Oncorhynchus (=Salmo) keta) - Columbia R.",T,"$15,772,130","$706,670,040"
,22,"Bat, Indiana (Myotis sodalis)",E,"$15,028,862","$721,698,902"
,23,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) - Puget",T,"$14,849,784","$736,548,686"
,Sound ESU,,,,
,24,"Sturgeon, white (Acipenser transmontanus) - ID, MT, Canada (B.C.),",E,"$13,632,338","$750,181,024"
,Kootenai R. system,,,,
,25,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - Lower Columbia",T,"$13,183,361","$763,364,385"
,River ESU,,,,
,26,"Sucker, razorback (Xyrauchen texanus)",E,"$12,415,575","$775,779,960"
,27,"Manatee, West Indian (Trichechus manatus)",E,"$11,955,724","$787,735,684"
,28,Steelhead (Oncorhynchus (=Salmo) mykiss) - Central Valley CA,T,"$11,840,159","$799,575,843"
,29,"Plover, piping (Charadrius melodus) - except Great Lakes watershed",T,"$11,602,303","$811,178,146"
,30,"Salmon, Atlantic (Salmo salar) - Expanded Gulf of Maine DPS",E,"$10,913,156","$822,091,302"
,31,Steelhead (Oncorhynchus (=Salmo) mykiss) - central CA coast,T,"$10,103,546","$832,194,848"
,32,"Tern, least (Sterna antillarum) - interior pop.",E,"$9,969,552","$842,164,400"
,33,"Whale, North Atlantic Right (Eubalaena glacialis)",E,"$9,905,912","$852,070,312"
,34,"Minnow, Rio Grande silvery (Hybognathus amarus) - except where",E,"$9,182,533","$861,252,845"
,listed as EXPN,,,,
,35,"Salmon, chinook (Oncorhynchus (=Salmo) tshawytscha) -",E,"$9,171,593","$870,424,438"
,Sacramento River winter-run ESU,,,,
,36,"Chub, humpback (Gila cypha)",E,"$9,005,463","$879,429,901"
,37,"Tortoise, desert (Gopherus agassizii) - except in Sonoran Desert",T,"$7,958,057","$887,387,958"
,38,Steelhead (Oncorhynchus (=Salmo) mykiss) - Puget Sound DPS,T,"$7,753,711","$895,141,669"
,39,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - Oregon Coast",T,"$7,374,489","$902,516,158"
,ESU,,,,
,40,"Bear, grizzly (Ursus arctos horribilis) - lower 48 States, except",T,"$7,351,556","$909,867,714"
,where listed as EXPN or delisted,,,,
,41,"Murrelet, marbled (Brachyramphus marmoratus) - CA, OR, WA",T,"$7,322,553","$917,190,267"
,42,"Stork, wood (Mycteria americana) - AL, FL, GA, SC",E,"$6,872,943","$924,063,210"
,43,"Frog, California red-legged (Rana draytonii)",T,"$6,388,743","$930,451,953"
,44,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - Central CA ESU",E,"$6,323,590","$936,775,543"
,45,"Chub, bonytail (Gila elegans)",E,"$5,998,367","$942,773,910"
,46,"Snake, giant garter (Thamnophis gigas)",T,"$5,947,661","$948,721,571"
