Group Name,Unnamed: 1,Rank,Unnamed: 3,Species (50 CFR Part 17),Unnamed: 5,Status,Unnamed: 7,FWS Total,Other Fed,Unnamed: 10,Federal Total,Unnamed: 12,States Total,Unnamed: 14,Species Total
Mammals,,74,,"Bat, gray (Myotis grisescens)",,E,,"$134,901","$109,500",,"$244,401",,$0,,"$244,401"
,,3,,"Bat, Indiana (Myotis sodalis)",,E,,"$1,633,334","$17,470,600",,"$19,103,934",,"$165,100",,"$19,269,034"
,,,,,,,,,,,,,,,
,,84,,"Bat, Ozark big-eared",,E,,"$4,501","$109,500",,"$114,001",,$0,,"$114,001"
,,,,,,,,,,,,,,,
,,,(Corynorhinus (=Plecotus),,,,,,,,,,,,
,,,,townsendii ingens),,,,,,,,,,,
,,6,,"Bear, Louisiana black (Ursus",,T,,$0,"$11,298,000",,"$11,298,000",,$0,,"$11,298,000"
,,,,,,,,,,,,,,,
,,,americanus luteolus),,,,,,,,,,,,
,,105,,"Bear, polar (Ursus maritimus)",,T,,"$4,286",$0,,"$4,286",,$0,,"$4,286"
,,,,,,,,,,,,,,,
,,37,,"Fox, San Joaquin kit (Vulpes",,E,,"$601,504","$725,000",,"$1,326,504",,$0,,"$1,326,504"
,,,,,,,,,,,,,,,
,,,macrotis mutica) - CA,,,,,,,,,,,,
,,90,,"Jaguarundi, Sinaloan",,E,,"$68,643",$0,,"$68,643",,$0,,"$68,643"
,,,,,,,,,,,,,,,
,,,(Herpailurus (=Felis),,,,,,,,,,,,
,,,,yagouaroundi tolteca),,,,,,,,,,,
,,88,,"Kangaroo rat, giant",,E,,$0,"$84,000",,"$84,000",,$0,,"$84,000"
,,,,,,,,,,,,,,,
,,,(Dipodomys ingens),,,,,,,,,,,,
,,52,,"Kangaroo rat, Tipton",,E,,$0,"$666,583",,"$666,583",,$0,,"$666,583"
,,,,,,,,,,,,,,,
,,,(Dipodomys nitratoides,,,,,,,,,,,,
,,,,nitratoides),,,,,,,,,,,
,,59,,"Lynx, Canada (Lynx",,T,,$0,$0,,$0,,"$463,000",,"$463,000"
,,,,,,,,,,,,,,,
,,,canadensis) - U.S. DPS,,,,,,,,,,,,
,,77,,"Manatee, West Indian",,E,,"$177,778",$0,,"$177,778",,$0,,"$177,778"
,,,,,,,,,,,,,,,
,,,(Trichechus manatus),,,,,,,,,,,,
,,93,,"Mouse, Alabama beach",,E,,"$50,875",$0,,"$50,875",,$0,,"$50,875"
,,,,,,,,,,,,,,,
,,,(Peromyscus polionotus,,,,,,,,,,,,
,,,,ammobates),,,,,,,,,,,
,,22,,Ocelot (Leopardus (=Felis),,E,,"$68,643","$3,000,000",,"$3,068,643",,$0,,"$3,068,643"
,,,,,,,,,,,,,,,
,,,"pardalis) - AZ, TX to Central",,,,,,,,,,,,
,,,,and South America,,,,,,,,,,,
,,102,,"Otter, Northern Sea (Enhydra",,T,,"$8,411",$0,,"$8,411",,$0,,"$8,411"
,,,,,,,,,,,,,,,
,,,lutris kenyoni) – SW AK DPS,,,,,,,,,,,,
,,8,,"Panther, Florida (Puma",,E,,$0,"$9,500,000",,"$9,500,000",,$0,,"$9,500,000"
,,,,,,,,,,,,,,,
,,(=Felis) concolor coryi) - LA,,,,,,,,,,,,,
,and AR east to SC and FL,,,,,,,,,,,,,,
,,100,,"Pronghorn, Sonoran",,E,,$0,$0,,$0,,"$11,000",,"$11,000"
,,,,,,,,,,,,,,,
,,,(Antilocapra americana,,,,,,,,,,,,
,,,,sonoriensis),,,,,,,,,,,
,,26,,"Rabbit, riparian brush",,E,,$0,"$2,890,000",,"$2,890,000",,$0,,"$2,890,000"
,,,,,,,,,,,,,,,
,,,(Sylvilagus bachmani,,,,,,,,,,,,
,,,,riparius) - CA,,,,,,,,,,,
,,108,,"Seal, Hawaiian monk",,E,,$0,"$2,025",,"$2,025",,$0,,"$2,025"
,,,,,,,,,,,,,,,
,,,(Monachus schauinslandi),,,,,,,,,,,,
,,98,,"Sea-lion, Steller (Eumetopias",,T,,$0,"$12,572",,"$12,572",,$0,,"$12,572"
,,,,,,,,,,,,,,,
,,,jubatus) - eastern pop.,,,,,,,,,,,,
,,78,,"Sea-lion, Steller (Eumetopias",,E,,"$163,077","$12,572",,"$175,649",,$0,,"$175,649"
,,,,,,,,,,,,,,,
,,,jubatus) - western pop.,,,,,,,,,,,,
,,34,,"Squirrel, Delmarva Peninsula",,E,,"$1,504,643",$0,,"$1,504,643",,$0,,"$1,504,643"
,,,,,,,,,,,,,,,
,,,fox (Sciurus niger cinereus) -,,,,,,,,,,,,
,,,,"except Sussex Co., DE",,,,,,,,,,,
,,64,,"Squirrel, Virginia northern",,E,,"$376,828",$0,,"$376,828",,$0,,"$376,828"
,,,,,,,,,,,,,,,
,,,flying (Glaucomys sabrinus,,,,,,,,,,,,
,,,,fuscus),,,,,,,,,,,
,,103,,"Whale, blue (Balaenoptera",,E,,"$4,286","$2,600",,"$6,886",,$0,,"$6,886"
,,,,,,,,,,,,,,,
,,,musculus),,,,,,,,,,,,
,,105,,"Whale, bowhead (Balaena",,E,,"$4,286",$0,,"$4,286",,$0,,"$4,286"
,,,,,,,,,,,,,,,
,,,mysticetus),,,,,,,,,,,,
,,102,,"Whale, finback",,E,,"$8,411",$0,,"$8,411",,$0,,"$8,411"
,,,,,,,,,,,,,,,
,,,(Balaenoptera physalus),,,,,,,,,,,,
,,102,,"Whale, gray (Eschrichtius",,E,,"$8,411",$0,,"$8,411",,$0,,"$8,411"
,,,,,,,,,,,,,,,
,,,robustus) - W Pacific Ocean,,,,,,,,,,,,
,,97,,"Whale, humpback",,E,,"$8,411","$8,737",,"$17,148",,$0,,"$17,148"
,,,,,,,,,,,,,,,
,,,(Megaptera novaeangliae),,,,,,,,,,,,
,,110,,"Whale, killer (Orcinus orca) -",,E,,$0,"$1,540",,"$1,540",,$0,,"$1,540"
,,,,,,,,,,,,,,,
,,,Southern Resident DPS,,,,,,,,,,,,
,,102,,"Whale, Sei (Balaenoptera",,E,,"$8,411",$0,,"$8,411",,$0,,"$8,411"
,,,,,,,,,,,,,,,
,,,borealis),,,,,,,,,,,,
,,105,,"Whale, sperm (Physeter",,E,,"$4,286",$0,,"$4,286",,$0,,"$4,286"
,,,,,,,,,,,,,,,
,,catodon (=macrocephalus)),,,,,,,,,,,,,
,,17,,"Wolf, gray (Canis lupus) -",,E,,$0,,$0,,$0,,"$3,665,251",,"$3,665,251"
,,,,,,,,,,,,,,,,
,,,"AL, AR, CA, CO, CT, DE,",,,,,,,,,,,,,
,,,,"FL, GA, KS, KY, LA, MA,",,,,,,,,,,,,
,,,,"MD, ME, MO, MS, NC, NE,",,,,,,,,,,,,
,,,,"NH, NJ, NV, NY, OK, PA,",,,,,,,,,,,,
,,,,"RI, SC, TN, VA, VT, WV;",,,,,,,,,,,,
,,,,"portions of AZ, NM, TX not",,,,,,,,,,,,
,,,,included in EXPN; portions,,,,,,,,,,,,
,,,,"of IA, IN, IL, ND, OH, OR,",,,,,,,,,,,,
,,,,"SD, UT, WA; Mexico.",,,,,,,,,,,,
,,26,,"Woodrat, riparian (=San",,E,,$0,,"$2,890,000",,"$2,890,000",,$0,,"$2,890,000"
,,,,,,,,,,,,,,,,
,,,Joaquin Valley) (Neotoma,,,,,,,,,,,,,
,,,,fuscipes riparia),,,,,,,,,,,,
Mammals,,,,,,,,"$4,843,926",,"$48,783,229",,"$53,627,155",,"$4,304,351",,"$57,931,506"
,,,,,,,,,,,,,,,,
subtotal,,,,,,,,,,,,,,,,
Birds,,102,,"Albatross, short-tailed",,E,,"$8,411",,$0,,"$8,411",,$0,,"$8,411"
,,,(Phoebastria (=Diomedea),,,,,,,,,,,,,
,,,,albatrus),,,,,,,,,,,,
,,2,,"Caracara, Audubon's crested",,T,,$0,,"$20,500,000",,"$20,500,000",,$0,,"$20,500,000"
,,,,,,,,,,,,,,,,
,,,(Polyborus plancus,,,,,,,,,,,,,
,,,,audubonii) - FL pop.,,,,,,,,,,,,
,,39,,"Crane, whooping (Grus",,E,,$0,,"$1,273,500",,"$1,273,500",,$0,,"$1,273,500"
,,,,,,,,,,,,,,,,
,,,americana) - except EXPN,,,,,,,,,,,,,
,,89,,"Curlew, Eskimo (Numenius",,E,,"$71,901",,$0,,"$71,901",,$0,,"$71,901"
,,,,,,,,,,,,,,,,
,,,borealis),,,,,,,,,,,,,
,,71,,"Eider, spectacled (Somateria",,T,,"$256,452",,$0,,"$256,452",,$0,,"$256,452"
,,,,,,,,,,,,,,,,
,,,fischeri),,,,,,,,,,,,,
,,69,,"Eider, Steller's (Polysticta",,T,,"$300,577",,$0,,"$300,577",,$0,,"$300,577"
,,,,,,,,,,,,,,,,
,,,stelleri) - AK breeding pop.,,,,,,,,,,,,,
,,90,,"Falcon, northern aplomado",,E,,"$68,643",,$0,,"$68,643",,$0,,"$68,643"
,,,,,,,,,,,,,,,,
,,,(Falco femoralis septen-,,,,,,,,,,,,,
,,,,trionalis) - except EXPN,,,,,,,,,,,,
,,28,,"Flycatcher, southwestern",,E,,"$22,727",,"$2,289,500",,"$2,312,227",,"$53,000",,"$2,365,227"
,,,,,,,,,,,,,,,,
,,,willow (Empidonax traillii,,,,,,,,,,,,,
,,,,extimus),,,,,,,,,,,,
,,27,,"Gnatcatcher, coastal",,T,,"$22,727",,"$2,425,000",,"$2,447,727",,$0,,"$2,447,727"
,,,,,,,,,,,,,,,,
,,California (Polioptila,,,,,,,,,,,,,,
,californica californica),,,,,,,,,,,,,,,
,,101,,"Owl, Mexican spotted (Strix",,T,,$0,,"$10,000",,"$10,000",,$0,,"$10,000"
,,,,,,,,,,,,,,,,
,,,occidentalis lucida),,,,,,,,,,,,,
