Rank,Species (50 CFR Part 17),Status,Species Total,Cumulatative Total
1,"Sturgeon, pallid (Scaphirhynchus albus) - Entire",E,"$68,778,575","$68,778,575"
2,"Steelhead (Oncorhynchus (=Salmo) mykiss) - Snake RiverBasin DPS",T,"$52,178,312","$120,956,887"
3,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) -Snake River spring/summer-run ESU",T,"$49,199,036","$170,155,923"
4,"Steelhead (Oncorhynchus (=Salmo) mykiss) - MiddleColumbia River DPS",T,"$48,512,887","$218,668,810"
5,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) -Lower Columbia River ESU",T,"$42,525,708","$261,194,518"
6,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) -Snake River fall-run ESU",T,"$35,442,077","$296,636,595"
7,"Trout, bull (Salvelinus confluentus) - U.S.A., conterminous,lower 48 states",T,"$35,194,738","$331,831,333"
8,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) -Upper Columbia spring-run ESU",E,"$33,836,557","$365,667,890"
9,"Tortoise, desert (Gopherus agassizii) - Entire, except inSonoran Desert",T,"$33,677,623","$399,345,513"
10,"Steelhead (Oncorhynchus (=Salmo) mykiss) - UpperColumbia River DPS",T,"$31,683,743","$431,029,256"
11,"Sea lion, Steller (Eumetopias jubatus) - Western DPS",E,"$30,472,348","$461,501,604"
12,"Woodpecker, red-cockaded (Picoides borealis) - Entire",E,"$28,091,150","$489,592,754"
13,"Flycatcher, southwestern willow (Empidonax trailliiextimus) - Entire",E,"$23,157,345","$512,750,099"
14,"Salmon, sockeye (Oncorhynchus (=Salmo) nerka) - SnakeRiver ESU",E,"$22,780,787","$535,530,886"
15,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) -Puget Sound ESU",T,"$21,124,534","$556,655,420"
16,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) -Upper Willamette River ESU",T,"$17,631,540","$574,286,960"
17,"Steelhead (Oncorhynchus (=Salmo) mykiss) - LowerColumbia River DPS",T,"$15,808,309","$590,095,269"
18,"Bat, Indiana (Myotis sodalis) - Entire",E,"$15,192,756","$605,288,025"
19,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - LowerColumbia River ESU",T,"$14,539,618","$619,827,643"
20,"Chub, humpback (Gila cypha) - Entire",E,"$13,409,098","$633,236,741"
21,"Owl, northern spotted (Strix occidentalis caurina) - Entire",T,"$13,396,766","$646,633,507"
22,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - SouthernOregon - Northern California Coast ESU",T,"$12,797,817","$659,431,324"
23,"Smelt, delta (Hypomesus transpacificus) - Entire",T,"$11,960,799","$671,392,123"
24,"Plover, piping (Charadrius melodus) - except Great Lakeswatershed",T,"$11,685,179","$683,077,302"
25,"Salmon, chum (Oncorhynchus keta) - Columbia River ESU",T,"$11,329,733","$694,407,035"
26,"Sturgeon, white (Acipenser transmontanus) - U.S.A. (ID,MT), Canada (B.C.), Kootenai R. system",E,"$10,544,074","$704,951,109"
27,"Whale, North Atlantic Right (Eubalaena glacialis) - Entire",E,"$10,207,748","$715,158,857"
28,"Sucker, razorback (Xyrauchen texanus) - Entire",E,"$9,539,766","$724,698,623"
29,"Tern, least (Sterna antillarum) - interior pop.",E,"$9,334,565","$734,033,188"
30,"Steelhead (Oncorhynchus (=Salmo) mykiss) - PugetSound DPS",T,"$9,321,316","$743,354,504"
31,"Minnow, Rio Grande Silvery (Hybognathus amarus) -Entire, except where listed as an experimental population",E,"$9,223,652","$752,578,156"
32,"Sea turtle, loggerhead (Caretta caretta) - NorthwestAtlantic Ocean DPS",T,"$8,660,093","$761,238,249"
33,"Salmon, Atlantic (Salmo salar) - Gulf of Maine DPS",E,"$8,621,892","$769,860,141"
34,"Steelhead (Oncorhynchus (=Salmo) mykiss) - UpperWillamette River DPS",T,"$8,429,010","$778,289,151"
35,"Frog, California red-legged (Rana draytonii) - Entire",T,"$8,087,462","$786,376,613"
36,"Sea turtle, leatherback (Dermochelys coriacea) - Entire",E,"$8,059,747","$794,436,360"
37,"Bear, grizzly (Ursus arctos horribilis) - lower 48 States,except where listed as an experimental population ordelisted",T,"$8,036,953","$802,473,313"
38,"Steelhead (Oncorhynchus (=Salmo) mykiss) - CaliforniaCentral Valley DPS",T,"$7,758,946","$810,232,259"
39,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - OregonCoast ESU",T,"$7,607,283","$817,839,542"
40,"Sea turtle, green (Chelonia mydas) - Except whereendangered",T,"$7,593,653","$825,433,195"
41,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) -Sacramento River winter-run ESU",E,"$7,144,783","$832,577,978"
42,"Salmon, chum (Oncorhynchus keta) - Hood Canalsummer-run ESU",T,"$6,874,984","$839,452,962"
43,"Sea turtle, hawksbill (Eretmochelys imbricata) - Entire",E,"$6,763,446","$846,216,408"
44,"Chub, bonytail (Gila elegans) - Entire",E,"$6,249,048","$852,465,456"
45,"Tortoise, gopher (Gopherus polyphemus) - West of Mobileand Tombigbee Rivers",T,"$6,229,344","$858,694,800"
46,"Owl, Mexican spotted (Strix occidentalis lucida) - Entire",T,"$5,863,127","$864,557,927"
47,"Sea turtle, Kemp's ridley (Lepidochelys kempii) - Entire",E,"$5,636,214","$870,194,141"
48,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) - CentralCalifornia Coast ESU",E,"$5,472,499","$875,666,640"
49,"Ferret, black-footed (Mustela nigripes) - U.S.A. (WY andspecific portions of AZ, CO, MT, SD, and UT)",EXPN,"$5,462,546","$881,129,186"
50,"Steelhead (Oncorhynchus (=Salmo) mykiss) - CentralCalifornia Coast DPS",T,"$5,417,820","$886,547,006"
51,"Seal, Hawaiian monk (Monachus schauinslandi) - Entire",E,"$5,272,505","$891,819,511"
52,"Lynx, Canada (Lynx canadensis) - Contiguous U.S. DPS",T,"$5,263,502","$897,083,013"
53,"Salamander, California tiger (Ambystoma californiense) -U.S.A. (CA - Sonoma County)",E,"$5,135,895","$902,218,908"
54,"Steelhead (Oncorhynchus (=Salmo) mykiss) - NorthernCalifornia DPS",T,"$5,127,780","$907,346,688"
55,"Salmon, sockeye (Oncorhynchus (=Salmo) nerka) - OzetteLake ESU",T,"$5,100,711","$912,447,399"
56,"Scrub-jay, Florida (Aphelocoma coerulescens) - Entire",T,"$5,011,138","$917,458,537"
57,"Manatee, West Indian (Trichechus manatus) - Entire",E,"$4,948,295","$922,406,832"
58,"Murrelet, marbled (Brachyramphus marmoratus) - CA, OR,WA",T,"$4,908,883","$927,315,715"
59,"Whale, humpback (Megaptera novaeangliae) - Entire",E,"$4,745,649","$932,061,364"
60,"Trout, Lahontan cutthroat (Oncorhynchus clarkii henshawi)- Entire",T,"$4,639,473","$936,700,837"
61,"Steelhead (Oncorhynchus (=Salmo) mykiss) - SouthernCalifornia DPS",E,"$4,306,389","$941,007,226"
62,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) -California Coastal ESU",T,"$4,301,951","$945,309,177"
63,"Fox, San Joaquin kit (Vulpes macrotis mutica) - whereverfound",E,"$4,276,236","$949,585,413"
64,"Plover, western snowy (Charadrius alexandrinus nivosus) -Pacific coastal pop.",T,"$4,226,021","$953,811,434"
65,"Salmon, Chinook (Oncorhynchus (=Salmo) tshawytscha) -Central Valley spring-run ESU",T,"$4,128,190","$957,939,624"
