Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
Mammals,85,"Bat, gray (Myotis grisescens) - Wherever found",E,$0,$0,$0,"$2,200","$2,200"
,13,"Bat, Indiana (Myotis sodalis) - Wherever found",E,"$394,717","$2,104,120","$2,498,837","$158,382","$2,657,219"
,21,"Bat, Northern long-eared (Myotis septentrionalis) - Wherever found",T,$0,"$1,377,620","$1,377,620",$0,"$1,377,620"
,22,"Bear, Louisiana black (Ursus americanus luteolus) - Wherever found",T,"$1,302,372",$0,"$1,302,372",$0,"$1,302,372"
,82,"Deer, Columbian white-tailed (Odocoileus virginianus leucurus) - Columbia River DPS",E,"$3,811",$0,"$3,811",$0,"$3,811"
,91,"Fox, San Joaquin kit (Vulpes macrotis mutica) - wherever found",E,$380,$0,$380,$0,$380
,91,"Kangaroo rat, Tipton (Dipodomys nitratoides nitratoides) - Wherever found",E,$380,$0,$380,$0,$380
,53,"Lynx, Canada (Lynx canadensis) - Contiguous U.S. DPS",T,"$272,190",$0,"$272,190",$0,"$272,190"
,50,"Manatee, West Indian (Trichechus manatus) - Wherever found",E,"$291,819",$0,"$291,819","$28,000","$319,819"
,84,"Mouse, Alabama beach (Peromyscus polionotus ammobates) - Wherever found",E,$0,"$3,000","$3,000",$0,"$3,000"
,59,Ocelot (Leopardus (=Felis) pardalis) - wherever found,E,"$202,736",$0,"$202,736",$0,"$202,736"
,3,"Panther, Florida (Puma (=Felis) concolor coryi) - Wherever found",E,$0,"$6,045,205","$6,045,205",$0,"$6,045,205"
,52,"Rabbit, riparian brush (Sylvilagus bachmani riparius) - Wherever found",E,"$3,125","$288,000","$291,125",$0,"$291,125"
,66,"Sea lion, Steller (Eumetopias jubatus) - Western DPS",E,"$103,750","$4,800","$108,550",$0,"$108,550"
,23,"Squirrel, Delmarva Peninsula fox (Sciurus niger cinereus) - Wherever found, except where listed as an experimental population",E,"$1,275,000",$0,"$1,275,000",$0,"$1,275,000"
,69,"Vole, Florida salt marsh (Microtus pennsylvanicus dukecampbelli) - Wherever found",E,"$61,714",$0,"$61,714",$0,"$61,714"
,80.0,"Wolf, red (Canis rufus) - Wherever found, except where listed as an experimental population",E,"$6,429",$0,"$6,429",$0,"$6,429"
,52.0,"Woodrat, riparian (=San Joaquin Valley) (Neotoma fuscipes riparia) - Wherever found",E,"$3,125","$288,000","$291,125",$0,"$291,125"
Mammals subtotal,,,,"$3,921,548","$10,110,745","$14,032,293","$188,582","$14,220,875"
Birds,68.0,"Albatross, short-tailed (Phoebastria (=Diomedea) albatrus) - Wherever found",E,"$103,750",$0,"$103,750",$0,"$103,750"
,77.0,"Bobwhite, masked (quail) (Colinus virginianus ridgwayi) - Wherever found",E,"$17,750",$0,"$17,750",$0,"$17,750"
,6.0,"Caracara, Audubon's crested (Polyborus plancus audubonii) - FL pop.",T,"$1,174","$4,000,000","$4,001,174",$0,"$4,001,174"
,37.0,"Crane, whooping (Grus americana) - Wherever found, except where listed as an experimental population",E,"$600,000",$0,"$600,000",$0,"$600,000"
,55.0,"Eider, spectacled (Somateria fischeri) - Wherever found",T,"$256,000",$0,"$256,000",$0,"$256,000"
,36.0,"Falcon, northern aplomado (Falco femoralis septentrionalis) - Wherever found, except where listed as an experimental population",E,"$669,907",$0,"$669,907",$0,"$669,907"
,70.0,"Flycatcher, southwestern willow (Empidonax traillii extimus) - Wherever found",E,"$61,202",$0,"$61,202",$0,"$61,202"
,75.0,"Gnatcatcher, coastal California (Polioptila californica californica) - Wherever found",T,"$33,462",$0,"$33,462",$0,"$33,462"
,20.0,"Kite, Everglade snail (Rostrhamus sociabilis plumbeus) - Wherever found",E,$0,"$1,500,000","$1,500,000",$0,"$1,500,000"
,64.0,"Murrelet, marbled (Brachyramphus marmoratus) - U.S.A. (CA, OR, WA)",T,"$103,750","$1,000","$104,750","$30,450","$135,200"
,88.0,"Owl, northern spotted (Strix occidentalis caurina) - Wherever found",T,$0,"$1,000","$1,000",$0,"$1,000"
,9.0,"Plover, piping (Charadrius melodus) - except Great Lakes watershed",T,"$2,162,964","$882,571","$3,045,535",$0,"$3,045,535"
,68.0,"Plover, western snowy (Charadrius alexandrinus nivosus) - Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)",T,"$103,750",$0,"$103,750",$0,"$103,750"
,71.0,"Rail, Yuma clapper (Rallus longirostris yumanensis) - Wherever found",E,"$58,077",$0,"$58,077",$0,"$58,077"
,40.0,"Scrub-jay, Florida (Aphelocoma coerulescens) - Wherever found",T,"$1,174","$429,729","$430,903",$0,"$430,903"
,38.0,"Sparrow, Florida grasshopper (Ammodramus savannarum floridanus) - Wherever found",E,$0,"$501,364","$501,364",$0,"$501,364"
,1.0,"Stork, wood (Mycteria americana) - AL, FL, GA, MS, NC, SC",T,"$86,657","$7,000,000","$7,086,657","$28,000","$7,114,657"
,14.0,"Tern, least (Sterna antillarum) - interior pop.",E,"$1,462,118","$942,571","$2,404,689",$0,"$2,404,689"
,58.0,"Tern, roseate (Sterna dougallii dougallii) - northeast U.S. nesting pop.",E,"$209,500",$0,"$209,500",$0,"$209,500"
,74.0,"Vireo, least Bell's (Vireo bellii pusillus) - Wherever found",E,"$36,587",$0,"$36,587",$0,"$36,587"
,59.0,"Warbler (=wood), golden-cheeked (Dendroica chrysoparia) - Wherever found",E,"$202,736",$0,"$202,736",$0,"$202,736"
,48.0,"Woodpecker, red-cockaded (Picoides borealis) - Wherever found",E,"$301,312","$66,377","$367,689",$0,"$367,689"
Birds subtotal,,,,"$6,471,870","$15,324,612","$21,796,482","$58,450","$21,854,932"
Reptiles,92.0,"Alligator, American (Alligator mississippiensis) - Wherever found",SAT,$0,$346,$346,$0,$346
,16.0,"Gartersnake, northern Mexican (Thamnophis eques megalops) - Wherever found",T,$0,$0,$0,"$2,035,000","$2,035,000"
,91.0,"Lizard, blunt-nosed leopard (Gambelia silus) - Wherever found",E,$380,$0,$380,$0,$380
,47.0,"Sea turtle, green (Chelonia mydas) - Except where endangered",T,"$374,629",$0,"$374,629",$0,"$374,629"
,59.0,"Sea turtle, hawksbill (Eretmochelys imbricata) - Wherever found",E,"$202,736",$0,"$202,736",$0,"$202,736"
,33.0,"Sea turtle, Kemp's ridley (Lepidochelys kempii) - Wherever found",E,"$731,621",$0,"$731,621",$0,"$731,621"
,51.0,"Sea turtle, leatherback (Dermochelys coriacea) - Wherever found",E,"$312,915",$0,"$312,915",$0,"$312,915"
,39.0,"Sea turtle, loggerhead (Caretta caretta) - Northwest Atlantic Ocean DPS",T,"$467,171",$0,"$467,171",$0,"$467,171"
,87.0,"Skink, bluetail mole (Eumeces egregius lividus) - Wherever found",T,"$1,174",$0,"$1,174",$0,"$1,174"
,32.0,"Skink, sand (Neoseps reynoldsi) - Wherever found",T,"$1,174","$778,500","$779,674",$0,"$779,674"
,61.0,"Snake, copperbelly water (Nerodia erythrogaster neglecta) - Indiana north of 40 degrees north latitude, Michigan, Ohio",T,"$79,967",$0,"$79,967","$76,100","$156,067"
,60.0,"Snake, eastern indigo (Drymarchon corais couperi) - Wherever found",T,"$62,888","$100,000","$162,888","$28,000","$190,888"
,44.0,"Snake, giant garter (Thamnophis gigas) - Wherever found",T,"$388,754",$0,"$388,754",$0,"$388,754"
,30.0,"Turtle, bog (Clemmys muhlenbergii) - Wherever found, except GA, NC, SC, TN, VA",T,"$292,500","$589,472","$881,972",$0,"$881,972"
Reptiles subtotal,,,,"$2,915,909","$1,468,318","$4,384,227","$2,139,100","$6,523,327"
Amphibians,90.0,"Frog, California red-legged (Rana draytonii) - Wherever found",T,$0,$500,$500,$0,$500
,77.0,"Frog, Chiricahua leopard (Rana chiricahuensis) - Wherever found",T,"$17,750",$0,"$17,750",$0,"$17,750"
,90.0,"Salamander, California tiger (Ambystoma californiense) - U.S.A. (CA - Sonoma County)",E,$0,$500,$500,$0,$500
,44.0,"Salamander, California tiger (Ambystoma californiense) - U.S.A. (Central CA DPS)",T,"$388,754",$0,"$388,754",$0,"$388,754"
Amphibians subtotal,,,,"$406,504","$1,000","$407,504",$0,"$407,504"
Fishes,18.0,Cui-ui (Chasmistes cujus) - Wherever found,E,"$1,995,913",$0,"$1,995,913",$0,"$1,995,913"
,71.0,"Dace, Ash Meadows speckled (Rhinichthys osculus nevadensis) - Wherever found",E,"$58,077",$0,"$58,077",$0,"$58,077"
