TABLE 3.,,REPORTED LAND ACQUISITION EXPENDITURES ($000) FOR FY 1996 FOR ENDANGERED AND,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,THREATENED SPECIES.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FWS,OTHER,,,,FED,,STATES,,,SPECIES,,,
RANK,,,SPECIES (50 CFR Part 17),,,,,,,,STATUS,,,,TOTAL,,,FED,,,TOTAL,,TOTAL,,,,TOTAL,,
,,,,,,,,——,_____,,E,,,—,,$0.00,-,",$0.00_",,,-.,$0.00,$100.00,,,,$100.00,,
,75,"Bat, Indiana",,,,,,,,,F,,,,,$0.00,,,$0.00,,,$0.00,$100.00,,,,$100.00,,
,141,"Bat, Ozark b!g~eared",,,,,,,,,E,,-,—,,$29.40,,,$0.00,,,"$29.40,",,,"$0.00,,",,,$29.40,
,15,"Bear, grizzly",,,,,,,,,,,,,—,"$,0.49,_,$0~,00,,,",,,,,,"$9.00,",,$85.38,,",",",",$85.38,
,106,"Deer, Columbian",,white-tailed,,,_________,,,,F,,,,,$141.00,,,$0.00,,$141.00,,,,$0.00,,$141.00,,
,54,"Fox, Sa~4pq,umnkit,,,,,,,,,,,,,,_,,,,,,,,,,",,,,,,,,,",,,,E,",,——,,,$0.00,,$400.00,,,$400.00,,,,"$0.90,",,$400.00,,
,"113_Ka~g9roorat, giant",,,,,,,,______,,F,,,,,",,$0.00,, $390.00",,,,-,$390.00,,,,"$0.00,",,$390.00,,
,26,"Manatee,_West. Indian (=Florida)",,,,,,,,,,,,,"$~75.00,,,,,,,,$0.90",,,,,,$275.00,,,,"$0.00,",,$275.00,,
,111,"Mouse,",salt marsh harvest,,,,,,_____,,F,,,,,$0.00,,$50.00,,,,$50.00,,,$0.00,,,$50.00,
,~,,,,_____,,,,,,"T,F",,,,",",", $9.00.",,,$0.00,,-,$0.00 I,,$34.00~,,,,$34.00’,
,422,"Bobwhite, masked ,(qy,~),,,",,,,,,,,,E,,,—-,,"$93.70,",,,$0.00,,,"$93.70,",",",,"$0.00,",,,$93.70,
,~,,,,,,,,____,,"T,,,,,,,,,,,,,,",,,,,"$278.99,,,",,,$0.00,,$278.00,,"$232.50,",,,,$510.50,,
,"27_Falcon, Amenican,,,pere,g,rine",,,,,,-,—,,,F,,,,"$277.50,,,,",,,,"$0.00,",,$277.50,,,,"$0.00,",,$277.50,,
,,,,,,,,,,,,,,,,$10.00,,,"$0.00,",,,"$10.00 $2,325.00",,,,"$2,335.00",,,
,193,"Goose, Aleutian Canada",,,,,,,,,I,,,,"$3,800.00",,,,$0.00,,"$3,800.00",,,,$0.00,"$3,800.00",,,
~,,,scrub,,,,,______,,,I,,-—,,,$29.00,-,,$0.00,,,$29.00,,,"$0.00,",,,$29.00,
,6,"Mumrelet, marbled",,,,,,_____,,,T,,,,,$0.00,,,$9.00,,,$9.00,,,$0.00,,,,$9.00
,4,"Owl, northern spotted",,,,,,,_____T,,,,,,,"$9.00,,,,,",,,"$9.00,,,",,,$9.00,,,"$0.00,",,,,$9.00
,149,"ji~ht-footedclppp~,",,,,,,,,,E -,——,,,,$9.00,,,$0.00,,,$9.00,,,$0.00,,,,$9.00
,163,"Rail,Yumaclap~er",,,,,,,,,F,,",",,,$0.09,,,$0.00,,,"$0.00,",,"$42.50,",,,,"$42.50,",
,89,"Stork, wood",,,,,,,,,E,,,,,$275.00,,,$0.00,,$275.00,,,,$0.00,,$275.00,,
,"5i,y~o ,~lac!~c~ppedF",,,,,,,,,,,,,,,$358.80,,,"$0.00,,",,"$358.80,",,,,"$0.00,",,$358.80,,
,30,"Vireo, least1 Bell’s",,,,,,,,,F,,,,,$1.50,,,$0.00,,,$1.50,,,"$0.00,",,,,$1.50
,41,"Warbler, gpiden-cheeked",,,,,,,,,E,,——,,"$1,107.90",,,,$0.00,,"$1,107.90",,,,$0.00,"$1,107.90",,,
