TABLE 2.,SPECIES RANKED IN DESCENDING ORDER OF TOTAL FY 1997 REPORTED,,,,
,EXPENDITURES ISOOO),,,,
,,,SPECIES,,
RANK,SPECIES (50 CFR Part 17),STATUS,TOTAL,CUMULATIVE,
,,,($000),TOTAL,PERCENT
1,"Salmon, Chinook, Snake R. spring/summer run",T,$28.545.27,$28.545.27,10.73%
2,"Salmon. Chinook, Snake R. fall run",T,$25.655.96,$54.201.23,20.38%
3,"Salmon, sockeye (=red, =blueback), Snake R.",E,$18.051.44,$72.252.68,27.17%
4,"Owl, northern spotted",T,$13.467.43,"$85,720.10",32.24%
5,"Woodpecker, red-cockaded",E,"$12,055.91",$97.776.01,36.77%
6,"Salmon, coho, OR and CA ESU",T,"$11,866.18","$109,642.19",41.23%
7,"Murrelet, marbled",T,"$8,895.12",$118.537.31,44.58%
8,"Sucker, razorback",E,"$5,782.30","$124,319.60",46.75%
9,"Tortoise, desert",T,$5.712.88,$130.032.48,48.90%
10,"Eagle, bald",T,"$5,237.96","$135,270.44",50.87%
11,"Gnatcatcher, coastal California",T,"$4,821.70","$140,092.14",52.68%
12,"Squawfish, Colorado",E,"$4,419.77","$144,511.91",54.35%
13,"Flycatcher, southwestern willow",E,$4.088.76,$148.600.67,55.88%
14,"Bear, grizzly",T,"$4,084.94",.$152.685.61,57.42%
15,"Wolf, gray",E.T,"$3,599.85","$156,285.46",58.77%
16,"Salmon, Chinook, Sacramento R. winter run",T,"$3,279.39","$159,564.85",60.01%
17,"Sturgeon, white (Kootenai River pop.)",E,"$3,188.37","$162,753.22",61.21%
18,"Salmon, coho, CA ESU",T,"$2,922.88","$165,676.10",62.30%
19,"Crane, whooping",E,"$2,809.65",$168.485.74,63.36%
20,"Falcon, American peregrine",E,"$2,600.79","$171,086.53",64.34%
21,"Whale, right",E,"$2,403.25","$173,489.78","65.24%"""
22,"Turtle, green sea",E.T,"$2,293.84","$175,783.62",66.11%
23,"Plover, piping",E.T,"$2,265.29","$178,048.91",66~96%
24,"Sea-lion, Steller","E,T","$2,206.58","$180,255.49",67.79%
25,"Trout, Umpqua River cutthroat",E,"$2,146.50","$182,401.99",68.59%
26,"Panther, Flo.rida",E,"$2,145.55 .$184,547.55",,69.40%
27,"Turtle, loggerhead sea",T,"$2,118.48.5186.666.03",,70.20%
28,"Ferret, black-footed",E,"$2,033.16","$188,699.19",7a96%~
